EXTRACTION_RULE,FILE_NAME,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEF,PLAIN_TEXT_TERM
definition + emph{},1204.1402#argthesis.tex,,FALSE,"
  For Γ a group, a Γ-species F is a combinatorial species F together with an action of Γ on F-structures by species isomorphisms.
  Explicitly, for F a Γ-species, the diagram
  
    [every node/.style=fill=white]
           (m) [matrix of math nodes, row sep=4em, column sep=4em, text height=1.5ex, text depth=0.25ex]
          
            A     F A    F A
    
            B     F B    F B
    ;
          [->,font=]
          (m-1-1) edge node F (m-1-2)
          edge node σ (m-2-1)
          (m-1-2) edge node γ_A (m-1-3)
          edge node F σ (m-2-2)
          (m-1-3) edge node F σ (m-2-3)
          (m-2-1) edge node F (m-2-2)
          (m-2-2) edge node γ_B (m-2-3);

  commutes for every γ∈Γ and every set bijection σ: A → B.
  (Note that commutativity of the left square is required for F to be a species at all.)",Γ-species
definition + emph{},1404.0065#SLII.tex,,FALSE,"
 Let Ψ be a finite subset of V_^*.  
 
 We consider  the  hyperplanes in V defined by the equations
 
    ⟨η ,x⟩= n   η∈Ψ   n∈.

 A connected component of the complement of the union of these hyperplanes
 in V is called a Ψ-alcove .",Ψ-alcove
definition + emph{},1410.8632#3-Ehrhart-polynomials.tex,,FALSE,"
 Let Ψ be a finite subset of ^N.
 We consider  the  hyperplanes in ^N defined by the equations
 
    ⟨η ,b⟩= n, η∈Ψ   n∈.

 A connected component of the complement of the union of these hyperplanes is called a Ψ-alcove .",Ψ-alcove
definition + emph{},1407.3953#1407.3953.tex,,FALSE,"Let α be an isomorphism between T_n^*() and T_n^*(').  We
will say that a k-subspace π_∞ of H_∞ is -rigid
if for every (k+1)-subspace π containing
π_∞, but not contained in H_∞, the point set {(P)|P
∈π, P∉ H_∞} spans a (k+1)-subspace.",-rigid
definition + emph{},1207.4726#1207.4726.tex,,FALSE,"Let α be an isomorphism between the graphs Γ_n,q() and Γ_n,q(') (or between T_n^*() and T_n^*(')) that preserves the set .  We
will say that a k-subspace π_∞ of H_∞ is -rigid
if for every (k+1)-subspace π through
π_∞, not contained in H_∞, the point set {(P)|P
∈π, P∉ H_∞} spans a (k+1)-subspace.",-rigid
definition + emph{},1603.04268#section-approximate-factorization.tex,,FALSE,"For a box =(x,y) of a Young diagram we define its α-content by

    ()=(x,y):= A x - 1/A y∈.
",α-content
definition + emph{},1506.06361#section-prologue.tex,,FALSE,"For a box =(x,y) of a Young diagram we define its α-content by

    ()=(x,y):= A x - 1/A y∈.
",α-content
definition + emph{},1703.02509#1703.02509.tex,,FALSE,"[Cf. <cit.>]
Let =(V,A) be a (finite) directed connected multigraph without loops, where V=[n] for some n∈.
A function [n]→_0 is a -parking function if for every non-empty subset I⊆[n] there exists a vertex i∈ I such that the number of elements j∉ I such that (i,j)∈ A, counted with multiplicity, is greater than or equal to (i).",-parking function
definition + emph{},1805.04153#1805.04153.tex,,FALSE,"[<cit.>, ad.]

Let =(V,A) be a (finite) directed loopless connected multigraph, where V=[n] 
for some natural  n. Then
=(a_1,…,a_n)∈^n is a -parking function if for every non-empty subset I⊆[n] there exists a vertex i∈ I such that the number of arcs (i,j)∈ A with j∉ I, counted with multiplicity, is greater than a_i-2.",-parking function
definition[],1907.07639#1907.07639.tex,,FALSE,"
	A partition  of a k-graph H is -regular if
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	",-regular partition
definition[],1804.05513#1804.05513.tex,,FALSE,"
	A partition  of a k-graph H is -regular if 
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	",-regular partition
definition + textit{},0901.3565#JM_partitions.tex,partition,TRUE,"
An ℓ-partition is an ℓ-regular partition with no removable non-horizontal ℓ-rim hooks, such that after removing any number of horizontal ℓ-rim hooks, the remaining diagram still has no removable non-horizontal ℓ-rim hooks.",ℓ-partition
definition + textit{},0712.2075#0712.2075.tex,partition,TRUE,"
An ℓ-partition is an ℓ-regular partition which


  * Has no non-horizontal ℓ-rim hooks.

  * After removing any number of horizontal ℓ-rim hooks, the remaining diagram has no non-horizontal ℓ-rim hooks. 
",ℓ-partition
definition + textit{},0906.1559#dissertation.tex,partition,TRUE,"
An ℓ-partition is an ℓ-regular partition which


  * Has no non-horizontal ℓ-rim hooks.

  * After removing any number of horizontal ℓ-rim hooks, in any order, the remaining diagram has no non-horizontal ℓ-rim hooks. 
",ℓ-partition
definition[],1710.02021#toystablereg.tex,,FALSE,"
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A  if y is ϵ-good for A with respect to B for all y∈ G.[For those familiar with <cit.>, this is equivalent to saying that B is an ϵ-good subset in the Cayley graph Γ(G,A).]",ϵ-good
definition[],1805.06847#1805.06847.tex,,FALSE,"
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A if y is ϵ-good for A with respect to B for all y∈ G.",ϵ-good
definition + emph{},1710.02021#toystablereg.tex,,FALSE,"[ϵ-good]
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A  if y is ϵ-good for A with respect to B for all y∈ G.[For those familiar with <cit.>, this is equivalent to saying that B is an ϵ-good subset in the Cayley graph Γ(G,A).]",ϵ-good for A with respect to B;ϵ-good for A
definition + emph{},1805.06847#1805.06847.tex,,FALSE,"[ϵ-good]
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A if y is ϵ-good for A with respect to B for all y∈ G.",ϵ-good for A with respect to B;ϵ-good for A
definition + emph{},1604.00733#algapplreglemma.tex,,FALSE,"Let Y be a n × n square matrix. Let I, J
  ⊆ [n] be intervals. We say that (I, J) is interval
    ϵ-regular for Y if for all subintervals A ⊆ I
  and B ⊆ J with |A| ≥ϵ |I| and |B| ≥ϵ
  |J| one has
  
    |d_Y(A, B) - d_Y(I, J)| ≤ϵ.

  Let  be a partition of [n] into k intervals. We say that
   is interval ϵ-regular for Y if all except at most
  ϵ k^2 pairs of intervals (I, J) of  are
  interval ϵ-regular for Y.",ϵ-regular
definition + emph{},1412.8084#Limits_Finite_Structures_Aroskar_Cummings.tex,,FALSE,"

A directed r-uniform hypergraph H on X is ϵ-regular if for any cylindric intersection set L in X^[r] with μ(L) ≥ϵ, | μ(H ∩ L) - μ(H)μ(L) | < ϵ.",ϵ-regular
definition + emph{},1408.0408#E-O.tex,,FALSE,"Let ϵ > 0.  Given a graph G and two nonempty disjoint vertex sets A, B ⊂ V, we say that the pair (A, B) is ϵ-regular if for every X ⊂ A and Y ⊂ B satisfying

    |X| > ϵ |A|    and    |Y| > ϵ |B|

we have

    |d(X, Y) - d(A, B)| < ϵ.
",ϵ-regular
definition + emph{},1105.4212#1105.4212.tex,,FALSE,"
We say that the composition  γ covers β , denoted β⋖γ, if γ can be obtained from β either by prepending β with a new part of size 1  
(i.e., γ = (1)·β), 
or by adding 1 to the first (leftmost) part of β of size k for some k.
The partial order ≤ defined on the set of all compositions is the transitive closure of these cover relations, and the resulting poset we denote .",γ covers β
definition + emph{},1007.0994#1007.0994.tex,,FALSE,"[Composition poset] 
We say that

the
composition  γ covers β , denoted β⋖_C γ, if γ can be obtained from β either by prepending β with a new part of size 1, or by adding 1 to the first (leftmost) part of β of size k for some k.
The partial order ≤_C defined on the set of all compositions is the transitive closure of these cover relations, and the resulting poset we denote _C.",γ covers β
definition + emph{},1810.06844#Fischer_et_al_Classes_of_treebased_networks_SP.tex,,FALSE,"
Let N^u be a proper phylogenetic network on leaf set X with |X| ≥ 2 such that ℒ𝒞𝒰𝒯(N^u) is Hamilton connected. Then, N^u is called an ℋ-connected network.",ℋ
definition + emph{},1607.04902#TerryHPLS7-18.tex,,FALSE,"
 An _-structure M is ℋ-random if it is complete and for every χ∈ Ch(M), there is an ℒ-structure N∈ such that N_χ M.",ℋ
definition + emph{},0905.3252#k-sumsV5.tex,,FALSE,"Let := (, ) be a partial field, and let A be a matrix with entries in . Then A is a -matrix if, for every square submatrix A' of A, either (A') = 0 or (A') ∈.",-matrix
definition + emph{},1006.1418#stabifragirotaV5.tex,,FALSE,"
  Let = (, ) be a partial field and let A be a matrix with entries in . Then A is a -matrix if, for each square submatrix D of A, (D) ∈.",-matrix
definition + emph{},1409.5295#1409.5295.tex,,FALSE,"If R⊊ V(G) with |R|≥ 4, and ϕ is a 3-coloring of G[R], we define the ϕ-identification of R in G , denoted by G_ϕ(R), to be the graph obtained from G by identifying for each i∈{1,2,3} the vertices colored i in R to a vertex x_i, adding the edges x_1x_2,x_1x_3,x_2x_3 and then deleting parallel edges. 
We say that {x_1x_2,x_1x_3,x_2x_3} is the triangle corresponds to R.",ϕ-identification of R in G
definition + emph{},1602.03098#1602.03098.tex,,FALSE,"If R⊊ V(G) with |R|≥ 5, and ϕ is a 4-coloring of G[R], we define the ϕ-identification of R in G , denoted by G_ϕ(R), to be the graph obtained from G by identifying for each i∈{1,2,3,4} the vertices colored i in R to a vertex x_i, adding the edges x_ix_j for all i,j∈{1,2,3,4} and then deleting parallel edges.",ϕ-identification of R in G
definition + emph{},1409.5116#1409.5116.tex,,FALSE,"If R⊊ V(G) with |R|≥ 4, and ϕ is a 3-coloring of G[R], we define the ϕ-identification of R in G , denoted G_ϕ(R), to be the graph obtained by identifying the vertices colored i in R to a vertex x_i for each i∈{1,2,3}, adding the edges x_1x_2,x_1x_3,x_2x_3 and then deleting parallel edges.",ϕ-identification of R in G
definition + emph{},1502.04955#1502.04955.tex,,FALSE,"Let  be a graph, κ a cardinal and let A V.
We say that A is κ iff there are κ many
disjoint finite paths between any two points of A. We say that A is
κ-connected iff there are κ many disjoint finite
paths inside A between any two points of A.",κ;κ-connected
definition + emph{},1507.06187#monopath2_final.tex,,FALSE,"Let  be a graph, κ a cardinal and let A⊆ V. We say that A is κ iff for any v≠ w∈ A there are κ-many finite paths from v to w in G which only intersect in v and w. We say that A is κ-connected iff A is κ in the graph induced by A.",κ;κ-connected
definition + emph{},1906.08234#1906.08234.tex,,FALSE,"An edge-ordered complete graph G on N vertices is ε-regular if, for all intervals I⊂N2 of length at least εN2, and all subsets X and Y of size at least ε N, the pair (X,Y) is (α_I, ε)-regular in the graph G_I.",ε-regular
