CATEGORIES,DD_PAGE_TITLE,DEFINITION,DEF_PAGE_TITLE,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEFINITION,TERM
"['Definitions/Absolute Geometry', 'Definitions/Geometry', 'Definitions/Branches of Mathematics']",Definition:Absolute,Absolute geometry is the study of Euclidean geometry without the parallel postulate.,Definition:Absolute Geometry,geometry,TRUE,Absolute geometry is the study of Euclidean geometry without the parallel postulate.,Absolute
"['Definitions/Absolutely Normal Numbers', 'Definitions/Normal Numbers', 'Definitions/Numbers']",Definition:Absolute,"A real number $r$ is absolutely normal if it is normal  every number base $b$.

That is,  its basis expansion in every number base $b$ is such that:
:no finite sequence of digits of $r$ of length $n$ occurs more frequently than any other such finite sequence of length $n$.


In particular, for every number base $b$, all digits of $r$ have the same natural density in the basis expansion of $r$.",Definition:Absolutely Normal Number,,FALSE,"A real number r is absolutely normal if it is normal  every number base b.

That is,  its basis expansion in every number base b is such that:
:no finite sequence of digits of r of length n occurs more frequently than any other such finite sequence of length n.


In particular, for every number base b, all digits of r have the same natural density in the basis expansion of r.",Absolute
['Definitions/Temperature'],Definition:Absolute,"Absolute temperature is a measure of the amount of heat energy in a body.

It is defined as:
:$T = dfrac 1 k left( dfrac {partial U} {partial ln g}  right)$
where:
:$k$ is a constant that relates the mean kinetic energy and absolute temperature of the body $B$
:$U$ is the total energy of $B$
:$g$ is the number of possible states in which $B$ can be.


=== Dimension ===

",Definition:Temperature/Absolute,measure,TRUE,"Absolute temperature is a measure of the amount of heat energy in a body.

It is defined as:
:T =  1 k ( ∂ U∂ln g)
where:
:k is a constant that relates the mean kinetic energy and absolute temperature of the body B
:U is the total energy of B
:g is the number of possible states in which B can be.


=== Dimension ===

",Absolute
['Definitions/Temperature'],Definition:Absolute,"Absolute zero is the lowest temperature which can theoretically be achieved.

It is the temperature where all motion due to thermal effects stops.

Before that temperature can be reached, quantum effects come into play.",Definition:Absolute Zero,,FALSE,"Absolute zero is the lowest temperature which can theoretically be achieved.

It is the temperature where all motion due to thermal effects stops.

Before that temperature can be reached, quantum effects come into play.",Absolute
['Definitions/Arrays'],Definition:Absolute,"Let $mathbf A$ be an array.


When referring to a specific element of $mathbf A$ directly by its indices $left( i, j right)$, those indices can be referred to as the absolute address of that element.

This terminology is most often seen in the context of computer spreadsheet programs.",Definition:Array/Element/Absolute Address,,FALSE,"Let 𝐀 be an array.


When referring to a specific element of 𝐀 directly by its indices ( i, j ), those indices can be referred to as the absolute address of that element.

This terminology is most often seen in the context of computer spreadsheet programs.",Absolute
['Definitions/Force'],Definition:Action,"Let $B_1$ and $B_2$ be bodies in space.

Let $B_1$ apply a force $mathbf F$ on $B_2$.

The force $mathbf F$ is known as the action that $B_1$ applies to $B_2$.
",Definition:Action (Physics),,FALSE,"Let B_1 and B_2 be bodies in space.

Let B_1 apply a force 𝐅 on B_2.

The force 𝐅 is known as the action that B_1 applies to B_2.
",Action
['Definitions/Dynamics'],Definition:Action,"The action for a given segment from point $A$ to point $B$ on the trajectory of a dynamical system is defined by the line integral:

:$ds sum_i int_A^B p_i ,mathrm d q_i$

where:
:$q_i$ are the generalized coordinates
:$p_i$ are the generalized momenta.
",Definition:Action (Dynamics),,FALSE,"The action for a given segment from point A to point B on the trajectory of a dynamical system is defined by the line integral:

:∑_i ∫_A^B p_i  d q_i

where:
:q_i are the generalized coordinates
:p_i are the generalized momenta.
",Action
"['Definitions/Hamiltonian Mechanics', 'Definitions/Dimensions of Measurement']",Definition:Action,"The action applied by a system from state $1$ to state $2$ is defined as the definite integral of the Lagrangian over time from state $1$ to state $2$:

:$ds S_{12} = int_{t_1}^{t_2} mathcal L ,mathrm d t$
where:
:$S_{12}$ is the action from $1$ to $2$
:$t$ is time
:$mathcal L$ is the Lagrangian.",Definition:Action Applied by System,,FALSE,"The action applied by a system from state 1 to state 2 is defined as the definite integral of the Lagrangian over time from state 1 to state 2:

:S_12 = ∫_t_1^t_2ℒ d t
where:
:S_12 is the action from 1 to 2
:t is time
:ℒ is the Lagrangian.",Action
['Definitions/Group Actions'],Definition:Action,"Let $X$ be a set.

Let $left( G, circ right)$ be a group whose identity is $e$.


A (left) group action is an operation $phi: G times X to X$ such that:

:$forall left( g, x right) in G times X: g * x := phi left(   right){g, x} in X$

in such a way that the group action axioms are satisfied:

Let $X$ be a set.

Let $left( G, circ right)$ be a group whose identity is $e$.


A right group action is a mapping $phi: X times G to X$ such that:

:$forall left( x, g right) in X times G : x * g := phi left(   right){x, g} in X$

in such a way that the right group action axioms are satisfied:

",Definition:Group Action,,FALSE,"Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A (left) group action is an operation ϕ: G × X → X such that:

:∀( g, x ) ∈ G × X: g * x := ϕ(   )g, x∈ X

in such a way that the group action axioms are satisfied:

Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A right group action is a mapping ϕ: X × G → X such that:

:∀( x, g ) ∈ X × G : x * g := ϕ(   )x, g∈ X

in such a way that the right group action axioms are satisfied:

",Action
"['Definitions/Module Theory', 'Definitions/Linear Ring Actions']",Definition:Action,"Let $R$ be a ring.

Let $M$ be an abelian group.

Let $circ : R times M to M$ be a mapping from the cartesian product $R times M$.


$circ$ is a left linear ring action of $R$ on $M$  $circ$ satisfies the left ring action axioms:

Let $R$ be a ring.

Let $M$ be an abelian group.

Let $circ : M times R to M$ be a mapping from the cartesian product $M times R$.


$circ$ is a right linear ring action of $R$ on $M$  $circ$ satisfies the right ring action axioms:

",Definition:Linear Ring Action,,FALSE,"Let R be a ring.

Let M be an abelian group.

Let ∘ : R × M → M be a mapping from the cartesian product R × M.


∘ is a left linear ring action of R on M  ∘ satisfies the left ring action axioms:

Let R be a ring.

Let M be an abelian group.

Let ∘ : M × R → M be a mapping from the cartesian product M × R.


∘ is a right linear ring action of R on M  ∘ satisfies the right ring action axioms:

",Action
['Definitions/Homological Algebra'],Definition:Acyclic,"Let $mathbf A$ be an abelian category with enough injectives.

Let $mathbf B$ be an abelian category.

Let $F : mathbf A to mathbf B$ be a left exact functor.

Let $X$ be an object of $mathbf A$.


Then $X$ is $F$-acyclic  $mathrm R^i F left(   right)X = 0$ for all positive integers $i in mathbb Z_{i mathop ge 1}$.

In the above $mathrm R^i F$ denotes the $i$-th right derived functor of $F$.


Category:Definitions/Homological Algebra",Definition:Acyclic Object,,FALSE,"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an abelian category.

Let F : 𝐀→𝐁 be a left exact functor.

Let X be an object of 𝐀.


Then X is F-acyclic  R^i F (   )X = 0 for all positive integers i ∈ℤ_i ≥ 1.

In the above R^i F denotes the i-th right derived functor of F.


Category:Definitions/Homological Algebra",Acyclic
['Definitions/Homological Algebra'],Definition:Acyclic,"Let $mathbf A$ be an abelian category with enough injectives.

Let $mathbf B$ be an abelian category.

Let $F : mathbf A to mathbf B$ be a left exact functor.

Let $X$ be an object of $mathbf A$.


Then $X$ is $F$-acyclic  $mathrm R^i F left(   right)X = 0$ for all positive integers $i in mathbb Z_{i mathop ge 1}$.

In the above $mathrm R^i F$ denotes the $i$-th right derived functor of $F$.


Category:Definitions/Homological Algebra
",Definition:Acyclic Resolution,,FALSE,"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an abelian category.

Let F : 𝐀→𝐁 be a left exact functor.

Let X be an object of 𝐀.


Then X is F-acyclic  R^i F (   )X = 0 for all positive integers i ∈ℤ_i ≥ 1.

In the above R^i F denotes the i-th right derived functor of F.


Category:Definitions/Homological Algebra
",Acyclic
['Definitions/Graph Theory'],Definition:Acyclic,"An acyclic graph is a graph or digraph with no cycles.
",Definition:Acyclic Graph,,FALSE,"An acyclic graph is a graph or digraph with no cycles.
",Acyclic
"['Definitions/Analysis', 'Definitions/Abstract Algebra', 'Definitions/Linear Algebra']",Definition:Additive Function,"Let $f: S to S$ be a mapping on an algebraic structure $left( S, + right)$.


Then $f$ is an additive function  it preserves the addition operation:
:$forall x, y in S: f left(   right){x + y} = f left(   right)x + f left(   right)y$
",Definition:Additive Function (Conventional),,FALSE,"Let f: S → S be a mapping on an algebraic structure ( S, + ).


Then f is an additive function  it preserves the addition operation:
:∀ x, y ∈ S: f (   )x + y = f (   )x + f (   )y
",Additive Function
['Definitions/Ring Theory'],Definition:Additive Function,"Let $R$ be a unique factorization domain.

Let $f : R to mathbb C$ be a complex-valued function.


Then $f$ is additive :
:For all coprime $x, y in R$: $f left(   right){x y} = f left(   right)x + f left(   right)y$


=== Arithmetic Function ===
",Definition:Additive Function on UFD,,FALSE,"Let R be a unique factorization domain.

Let f : R →ℂ be a complex-valued function.


Then f is additive :
:For all coprime x, y ∈ R: f (   )x y = f (   )x + f (   )y


=== Arithmetic Function ===
",Additive Function
"['Definitions/Ring Theory', 'Definitions/Number Theory']",Definition:Additive Function,"Let $left( R, +, times right)$ be a ring.

Let $f: R to R$ be a mapping on $R$.


Then $f$ is described as completely additive :

:$forall m, n in R: f left(   right){m times n} = f left(   right)m + f left(   right)n$


That is, a completely additive function is one where the value of a product of two numbers equals the sum of the value of each one individually.",Definition:Completely Additive Function,,FALSE,"Let ( R, +, ×) be a ring.

Let f: R → R be a mapping on R.


Then f is described as completely additive :

:∀ m, n ∈ R: f (   )m × n = f (   )m + f (   )n


That is, a completely additive function is one where the value of a product of two numbers equals the sum of the value of each one individually.",Additive Function
['Definitions/Measure Theory'],Definition:Additive Function,"Let $mathcal S$ be an algebra of sets.

Let $f: mathcal S to overline mathbb R$ be a function, where $overline mathbb R$ denotes the set of extended real numbers.


Then $f$ is defined to be additive :

:$forall S, T in mathcal S: S cap T = varnothing implies f left(   right){S cup T} = f left(   right)S + f left(   right)T$

That is, for any two disjoint elements of $mathcal S$, $f$ of their union equals the sum of $f$ of the individual elements.


Note from Finite Union of Sets in Additive Function that:

:$ds f left(   right){bigcup_{i mathop = 1}^n S_i} = sum_{i mathop = 1}^n f left(   right){S_i}$

where $S_1, S_2, ldots, S_n$ is any finite collection of pairwise disjoint elements of $mathcal S$.",Definition:Additive Function (Measure Theory),,FALSE,"Let 𝒮 be an algebra of sets.

Let f: 𝒮→R be a function, where R denotes the set of extended real numbers.


Then f is defined to be additive :

:∀ S, T ∈𝒮: S ∩ T = ∅ f (   )S ∪ T = f (   )S + f (   )T

That is, for any two disjoint elements of 𝒮, f of their union equals the sum of f of the individual elements.


Note from Finite Union of Sets in Additive Function that:

:f (   )⋃_i  = 1^n S_i = ∑_i  = 1^n f (   )S_i

where S_1, S_2, …, S_n is any finite collection of pairwise disjoint elements of 𝒮.",Additive Function
"['Definitions/Set Systems', 'Definitions/Measure Theory']",Definition:Additive Function,"Let $unicode{x3a3}$ be a $sigma$-algebra.

Let $f: unicode{x3a3} to overline mathbb R$ be a function, where $overline mathbb R$ denotes the set of extended real numbers.


Then $f$ is defined as countably additive :
:$ds f left(   right){bigcup_{n mathop in mathbb N} E_n} = sum_{n mathop in mathbb N} f left(   right){E_n}$

where $leftlangle E_n rightrangle$ is any sequence of pairwise disjoint elements of $unicode{x3a3}$.


That is, for any countably infinite set of pairwise disjoint elements of $unicode{x3a3}$, $f$ of their union equals the sum of $f$ of the individual elements.",Definition:Countably Additive Function,,FALSE,"Let x3a3 be a σ-algebra.

Let f: x3a3→R be a function, where R denotes the set of extended real numbers.


Then f is defined as countably additive :
:f (   )⋃_n ∈ℕ E_n = ∑_n ∈ℕ f (   )E_n

where ⟨ E_n ⟩ is any sequence of pairwise disjoint elements of x3a3.


That is, for any countably infinite set of pairwise disjoint elements of x3a3, f of their union equals the sum of f of the individual elements.",Additive Function
"['Definitions/Adjacency (Graph Theory)', 'Definitions/Vertices of Graphs']",Definition:Adjacent,"Let $G = left( V, E right)$ be a graph.

Two vertices $u, v in V$ of $G$ are non-adjacent  they are not adjacent.
",Definition:Adjacent (Graph Theory)/Vertices,,FALSE,"Let G = ( V, E ) be a graph.

Two vertices u, v ∈ V of G are non-adjacent  they are not adjacent.
",Adjacent
"['Definitions/Edges of Graphs', 'Definitions/Adjacency (Graph Theory)']",Definition:Adjacent,"Let $G = left( V, E right)$ be a graph.

Two edges $u, v in V$ of $G$ are non-adjacent  they are not adjacent.
",Definition:Adjacent (Graph Theory)/Edges,,FALSE,"Let G = ( V, E ) be a graph.

Two edges u, v ∈ V of G are non-adjacent  they are not adjacent.
",Adjacent
"['Definitions/Adjacency (Graph Theory)', 'Definitions/Faces of Graphs']",Definition:Adjacent,":

Let $G = left( V, E right)$ be a planar graph.

Two faces of $G$ are adjacent  they are both incident to the same edge (or edges).

In the above diagram, $BCEF$ and $ABF$ are adjacent, but $BCEF$ and $AFG$ are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.
:

Let $G = left( V, E right)$ be a planar graph.

Two faces of $G$ are adjacent  they are both incident to the same edge (or edges).

In the above diagram, $BCEF$ and $ABF$ are adjacent, but $BCEF$ and $AFG$ are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.
:

Let $G = left( V, E right)$ be a planar graph.

Two faces of $G$ are adjacent  they are both incident to the same edge (or edges).

In the above diagram, $BCEF$ and $ABF$ are adjacent, but $BCEF$ and $AFG$ are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.
",Definition:Adjacent (Graph Theory)/Faces,,FALSE,":

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.
:

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.
:

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.
",Adjacent
['Definitions/Angles'],Definition:Adjacent,"Two angles are adjacent if they have an intersecting line in common:

:",Definition:Angle/Adjacent,,FALSE,"Two angles are adjacent if they have an intersecting line in common:

:",Adjacent
"['Definitions/Adjacent (Polygons)', 'Definitions/Polygons']",Definition:Adjacent,"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.
Two sides of a polygon that meet at the same vertex are adjacent to each other.
Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side.
Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.


Those two vertices are described as adjacent to each other.
",Definition:Polygon/Adjacent,,FALSE,"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.
Two sides of a polygon that meet at the same vertex are adjacent to each other.
Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side.
Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.


Those two vertices are described as adjacent to each other.
",Adjacent
['Definitions/Adjacent (Polygons)'],Definition:Adjacent,"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.",Definition:Polygon/Adjacent/Side to Vertex,,FALSE,"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.",Adjacent
['Definitions/Adjacent (Polygons)'],Definition:Adjacent,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side.",Definition:Polygon/Adjacent/Vertex to Side,,FALSE,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side.",Adjacent
['Definitions/Adjacent (Polygons)'],Definition:Adjacent,Two sides of a polygon that meet at the same vertex are adjacent to each other.,Definition:Polygon/Adjacent/Sides,,FALSE,Two sides of a polygon that meet at the same vertex are adjacent to each other.,Adjacent
['Definitions/Adjacent (Polygons)'],Definition:Adjacent,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.


Those two vertices are described as adjacent to each other.",Definition:Polygon/Adjacent/Vertices,,FALSE,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.


Those two vertices are described as adjacent to each other.",Adjacent
"['Definitions/Adjacent (Polyhedra)', 'Definitions/Polyhedra']",Definition:Adjacent,"Each vertex of a polyhedron is formed by the intersection of a number of faces.

The faces that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.
Each edge of a polyhedron is formed by the intersection of two faces.

The faces that form a particular edge are referred to as the adjacents of that edge, or described as adjacent to that edge.
Two faces of a polyhedron that meet at the same vertex are adjacent to each other.
The edges that intersect at a particular face are referred to as the adjacents of that face, or described as adjacent to that face.
Two edges of a polyhedron that intersect at a particular vertex are referred to as adjacent to each other.
The vertices that intersect a particular face are referred to as the adjacents of that face, or described as adjacent to that face.
",Definition:Polyhedron/Adjacent,,FALSE,"Each vertex of a polyhedron is formed by the intersection of a number of faces.

The faces that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.
Each edge of a polyhedron is formed by the intersection of two faces.

The faces that form a particular edge are referred to as the adjacents of that edge, or described as adjacent to that edge.
Two faces of a polyhedron that meet at the same vertex are adjacent to each other.
The edges that intersect at a particular face are referred to as the adjacents of that face, or described as adjacent to that face.
Two edges of a polyhedron that intersect at a particular vertex are referred to as adjacent to each other.
The vertices that intersect a particular face are referred to as the adjacents of that face, or described as adjacent to that face.
",Adjacent
['Definitions/Adjacent (Polyhedra)'],Definition:Adjacent,"Each vertex of a polyhedron is formed by the intersection of a number of faces.

The faces that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.",Definition:Polyhedron/Adjacent/Face to Vertex,,FALSE,"Each vertex of a polyhedron is formed by the intersection of a number of faces.

The faces that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.",Adjacent
['Definitions/Adjacent (Polyhedra)'],Definition:Adjacent,"The vertices that intersect a particular face are referred to as the adjacents of that face, or described as adjacent to that face.",Definition:Polyhedron/Adjacent/Vertex to Face,,FALSE,"The vertices that intersect a particular face are referred to as the adjacents of that face, or described as adjacent to that face.",Adjacent
['Definitions/Adjacent (Polyhedra)'],Definition:Adjacent,"Each edge of a polyhedron is formed by the intersection of two faces.

The faces that form a particular edge are referred to as the adjacents of that edge, or described as adjacent to that edge.",Definition:Polyhedron/Adjacent/Face to Edge,,FALSE,"Each edge of a polyhedron is formed by the intersection of two faces.

The faces that form a particular edge are referred to as the adjacents of that edge, or described as adjacent to that edge.",Adjacent
['Definitions/Adjacent (Polyhedra)'],Definition:Adjacent,"The edges that intersect at a particular face are referred to as the adjacents of that face, or described as adjacent to that face.",Definition:Polyhedron/Adjacent/Edge to Face,,FALSE,"The edges that intersect at a particular face are referred to as the adjacents of that face, or described as adjacent to that face.",Adjacent
['Definitions/Adjacent (Polyhedra)'],Definition:Adjacent,Two faces of a polyhedron that meet at the same vertex are adjacent to each other.,Definition:Polyhedron/Adjacent/Faces,,FALSE,Two faces of a polyhedron that meet at the same vertex are adjacent to each other.,Adjacent
['Definitions/Triangles'],Definition:Adjacent,"The two sides of a triangle which form a particular vertex are referred to as adjacent to that angle.

Similarly, the two vertices of a triangle to which a particular side contributes are referred to as adjacent to that side.


Category:Definitions/Triangles",Definition:Triangle (Geometry)/Adjacent,,FALSE,"The two sides of a triangle which form a particular vertex are referred to as adjacent to that angle.

Similarly, the two vertices of a triangle to which a particular side contributes are referred to as adjacent to that side.


Category:Definitions/Triangles",Adjacent
['Definitions/Right Triangles'],Definition:Adjacent,"The two sides of a triangle which form a particular vertex are referred to as adjacent to that angle.

Similarly, the two vertices of a triangle to which a particular side contributes are referred to as adjacent to that side.


Category:Definitions/Triangles
",Definition:Triangle (Geometry)/Right-Angled/Adjacent,,FALSE,"The two sides of a triangle which form a particular vertex are referred to as adjacent to that angle.

Similarly, the two vertices of a triangle to which a particular side contributes are referred to as adjacent to that side.


Category:Definitions/Triangles
",Adjacent
"['Definitions/Adjacency (Graph Theory)', 'Definitions/Faces of Graphs']",Definition:Adjacent Faces,":

Let $G = left( V, E right)$ be a planar graph.

Two faces of $G$ are adjacent  they are both incident to the same edge (or edges).

In the above diagram, $BCEF$ and $ABF$ are adjacent, but $BCEF$ and $AFG$ are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.",Definition:Adjacent (Graph Theory)/Faces,,FALSE,":

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge.",Adjacent Faces
['Definitions/Adjacent (Polyhedra)'],Definition:Adjacent Faces,Two faces of a polyhedron that meet at the same vertex are adjacent to each other.,Definition:Polyhedron/Adjacent/Faces,,FALSE,Two faces of a polyhedron that meet at the same vertex are adjacent to each other.,Adjacent Faces
