,title,term,definition,pred
34,Definition:Image (Relation Theory)/Mapping/Element,Value,"Let f: S → T be a mapping.

Let s ∈ S.

The image of s (under f) is defined as:

:Img( s ) = f (   )s = ⋃{ t ∈ T: ( s, t ) ∈ f }

That is, f (   )s is the element of the codomain of f related to s by f.


By the nature of a mapping, f (   )s is guaranteed to exist and to be unique for any given s in the domain of f.",Definition:Image (Relation Theory)/Mapping/Element
35,Definition:Value of Game,Value,"Let G be a game.


The value of G is the payoff resulting from a solution of G.",Definition:Value of Game
36,Definition:Value (Physics),Value,"Let K be a physical constant.

The value of K is defined as the number of units of the specific physical quantity that go to make up K.


Category:Definitions/Physics",Definition:Value (Physics)
37,Definition:Relation Compatible with Operation,Compatible,"Let ( S, ∘) be a closed algebraic structure.

Let ℛ be a relation on S.


Then ℛ is compatible with ∘  if and only if :

:∀ x, y, z ∈ S: x ℛ y ( x ∘ z ) ℛ( y ∘ z )

:∀ x, y, z ∈ S: x ℛ y ( z ∘ x ) ℛ( z ∘ y )",Definition:Relation Compatible with Operation
38,Definition:Relation Strongly Compatible with Operation,Compatible,"Let ( S, ∘) be a closed algebraic structure.

Let ℛ be a relation in S.


Then ℛ is strongly compatible with ∘  if and only if :

:∀ x, y, z ∈ S: x ℛ y ( x ∘ z ) ℛ( y ∘ z )

:∀ x, y, z ∈ S: x ℛ y ( z ∘ x ) ℛ( z ∘ y ).


That is,  if and only if  ℛ is compatible with ∘ and conversely compatible with ∘.",Definition:Relation Strongly Compatible with Operation
39,Definition:Operation Compatible with Set Equivalence,Compatible,"Let F be a (unary) operation which can be applied to sets.


Then F is compatible with set equivalence  if and only if :

:F [ A ] = F [ B ]  A ∼ B

where:
:A and B are arbitrary sets
:F [ A ] denotes the image of A under F
:∼ denotes set equivalence.",Definition:Operation Compatible with Set Equivalence
40,Definition:Ordering Compatible with Ring Structure,Compatible,"Let ( R, +, ∘) be a ring whose zero is 0_R.


An ordering ≼ on R is compatible with the ring structure of R  if and only if  ≼ satisies the ring compatible ordering axioms:
 ",Definition:Ordering Compatible with Ring Structure
41,Definition:Gradation Compatible with Ring Structure,Compatible,"Let ( M, ·) be a semigroup.

Let ( R, +, ∘) be a ring.

Let ⟨ R_n ⟩_n ∈ M be a gradation of type M on the additive group of R.


The gradation is compatible with the ring structure  if and only if 
:∀ m, n ∈ M : ∀ x ∈ S_m, y ∈ S_n: x ∘ y ∈ S_m · n

and so:

:S_m S_n ⊆ S_ m · n",Definition:Gradation Compatible with Ring Structure
42,Definition:Relation Conversely Compatible with Operation,Compatible,"Let ( S, ∘) be a closed algebraic structure.

Let ℛ be a relation in S.


Then ℛ is conversely compatible with ∘  if and only if :

:∀ x, y, z ∈ S: ( x ∘ z ) ℛ( y ∘ z )  x ℛ y

:∀ x, y, z ∈ S: ( z ∘ x ) ℛ( z ∘ y )  x ℛ y",Definition:Relation Conversely Compatible with Operation
43,Definition:Universally Compatible Relation,Compatible,"A relation ℛ is universally compatible on a set S  if and only if  it is compatible with every closed operation that can be defined on S.

Category:Definitions/Abstract Algebra",Definition:Universally Compatible Relation
44,Definition:Congruence Relation,Compatible,"Let ( S, ∘) be an algebraic structure.

Let ℛ be an equivalence relation on S.


Then ℛ is a congruence relation for ∘  if and only if :

:∀ x_1, x_2, y_1, y_2 ∈ S: ( x_1 ℛ x_2 ) ( y_1 ℛ y_2 ) ( x_1 ∘ y_1 ) ℛ( x_2 ∘ y_2 )",Definition:Congruence Relation
45,Definition:Compatible Quasiuniformities,Compatible,"Let 𝒰_1 and 𝒰_2 be quasiuniformities on a set S.

Let ( ( S, 𝒰_1 ), τ_1 ) and ( ( S, 𝒰_2 ), τ_2 ) be the quasiuniform spaces generated by 𝒰_1 and 𝒰_2.


Then 𝒰_1 and 𝒰_2 are compatible (with each other)  if and only if  their topologies are equal.

That is,  if and only if  τ_1 = τ_2.",Definition:Compatible Quasiuniformities
46,Definition:Compatible Atlases,Compatible,"Let M be a topological space.

Let ℱ, 𝒢 be d-dimensional atlases of class C^k on M.


=== Definition 1 ===
Let M be a topological space.

Let ℱ, 𝒢 be d-dimensional atlases of class C^k on M.


ℱ, 𝒢 are C^k-compatible  if and only if  their union ℱ∪𝒢 is an atlas of class C^k.

=== Definition 2 ===
Let M be a topological space.

Let ℱ, 𝒢 be d-dimensional atlases of class C^k on M.


ℱ and 𝒢 are C^k-compatible  if and only if  every pair of charts ( U, ϕ) ∈ℱ and ( V, ψ) ∈𝒢 are C^k-compatible.",Definition:Compatible Atlases
47,Definition:Compatible Charts/Smooth,Compatible,"Let M be a topological space.

Let d be a natural number.

Let ( U, ϕ) and ( V, ψ) be d-dimensional charts of M.


( U, ϕ) and ( V, ψ) are smoothly compatible  if and only if  their transition mapping:
:ψ∘ϕ^-1 : ϕ(   )U ∩ V→ψ(   )U ∩ V
is of class C^∞.


Category:Definitions/Manifolds",Definition:Compatible Charts/Smooth
48,Definition:Chart Compatible with Atlas,Compatible,"Let M be a topological space.

Let A be a d-dimensional C^k-atlas on M.

Let ( U, ϕ) be a d-dimensional chart of M.


Then ( U, ϕ) is C^k-compatible with A  if and only if  ( U, ϕ) is C^k-compatible with every chart of A.

Category:Definitions/Manifolds",Definition:Chart Compatible with Atlas
49,Definition:Compatible Module Structures,Compatible,"Let A and B be rings.

Let ( M, + ) be an abelian group.

Let * : A × M → M and ⊛: B × M → M be left or right linear ring actions so that:
:(1):   ( M, +, * ) is a left or right module over A
:(2):   ( M, +, ⊛) is a left or right module over B


=== Definition 1 ===
Let A and B be rings.

Let ( M, + ) be an abelian group.

Let * : A × M → M and ⊛: B × M → M be left or right linear ring actions so that:
:(1):   ( M, +, * ) is a left or right module over A
:(2):   ( M, +, ⊛) is a left or right module over B


The module structures are compatible  if and only if  for all a ∈ A, b ∈ B, the homotheties h_a and h_b commute.

That is, for all m ∈ M, a ∈ A, b ∈ B:
:a * ( b ⊛ m ) = b ⊛( a * m )

=== Definition 2 ===
Let A and B be rings.

Let ( M, + ) be an abelian group.

Let * : A × M → M and ⊛: B × M → M be left or right linear ring actions so that:
:(1):   ( M, +, * ) is a left or right module over A
:(2):   ( M, +, ⊛) is a left or right module over B


The module structures are compatible  if and only if  for all a ∈ A, the homothety h_a : M → M is an endomorphism of the B-module M.

That is,  if and only if  the image of the ring representation A →End(   )M is contained in the endomorphism ring End_B  (   )M.

=== Definition 3 ===
Let A and B be rings.

Let ( M, + ) be an abelian group.

Let * : A × M → M and ⊛: B × M → M be left or right linear ring actions so that:
:(1):   ( M, +, * ) is a left or right module over A
:(2):   ( M, +, ⊛) is a left or right module over B


The module structures are compatible  if and only if  for all b ∈ A, the homothety h_b : M → M is an endomorphism of the A-module M.

That is,  if and only if  the image of the ring representation B →End(   )M is contained in the endomorphism ring End_A (   )M.",Definition:Compatible Module Structures
50,Definition:Prime Spectrum of Ring,Spectrum,"Let A be a commutative ring with unity.


The prime spectrum of A is the set of prime ideals 𝔭 of A:

:Spec( A ) = {𝔭 A: 𝔭 is prime}

where 𝔭 A indicates that 𝔭 is an ideal of A.",Definition:Prime Spectrum of Ring
51,Definition:Maximal Spectrum of Ring,Spectrum,"Let A be a commutative ring with unity.


The maximal spectrum of A is the set of maximal ideals of A:

:Max Spec( A ) = {𝔪 A : 𝔪 is maximal}

where I  A indicates that I is an ideal of A.


The notation Max Spec( A ) is also a shorthand for the locally ringed space
:( Max Spec( A ), τ, 𝒪_Max Spec(   )A)
where:
:τ is the Zariski topology on Max Spec(   )A
:𝒪_Max Spec(   )A is the structure sheaf of Max Spec(   )A",Definition:Maximal Spectrum of Ring
52,Definition:Spectrum (Spectral Theory)/Bounded Linear Operator,Spectrum,"Let ( X, ‖·‖_X ) be a Banach space over ℂ. 

Let A : X → X be a bounded linear operator.

Let ρ(   )A be the resolvent set of A. 

Let: 

:σ(   )A = ℂ∖ρ(   )A


We say that σ(   )A is the spectrum of A.",Definition:Spectrum (Spectral Theory)/Bounded Linear Operator
