"term","def","file_name","extraction_rule","plain_text_def","plain_text_term"
"$(\eps,p)$-regular","[$(\eps,p)$-regular pair]
	\label{def:ep-reg}
	Let $\eps>0$, let $p\in(0,1]$, let $H=(V,E)$ be a graph, 
	and let $X$, $Y\subseteq V$ be non-empty and disjoint. We say the pair $(X,Y)$ is \emph{$(\eps,p)$-regular}
	if 
	\[
		|d_H(X,Y)-d_H(X',Y')|<\eps p
	\]
	for all subsets $X'\subseteq X$ and $Y'\subseteq Y$ with $|X'|\geq \eps|X|$ and $|Y'|\geq \eps|Y|$.","1302.2248#erdos100.tex","definition + \emph{}","[(,p)-regular pair]
	
	Let >0, let p∈(0,1], let H=(V,E) be a graph, 
	and let X, Y⊆ V be non-empty and disjoint. We say the pair (X,Y) is (,p)-regular
	if 
	
    |d_H(X,Y)-d_H(X',Y')|< p

	for all subsets X'⊆ X and Y'⊆ Y with |X'|≥|X| and |Y'|≥|Y|.","(,p)-regular"
"$(\eps,p)$-regular","\label{def:eps_p_regular}
A bipartite graph ~$B = (V_1 \cup V_2, E)$  is called \emph{$(\eps,p)$-regular} if, for 
all~$V_1' \subseteq V_1$ and~$V_2' \subseteq V_2$  with ~$|V_1'| \ge \eps |V_1|$ 
and~$|V_2'| \ge \eps |V_2|$, 
\[
  \bigg| \frac{e(B;\,V_1', V_2')}{|V_1'||V_2'|} -\frac{|E|}{|V_1||V_2|} \bigg|
  \le \eps p.
\]","0908.3778#ESRG-extended.tex","definition + \emph{}","
A bipartite graph  B = (V_1 ∪ V_2, E)  is called (,p)-regular if, for 
all V_1' ⊆ V_1 and V_2' ⊆ V_2  with  |V_1'| ≥ |V_1| 
and |V_2'| ≥ |V_2|, 

    | e(B; V_1', V_2')/|V_1'||V_2'| -|E|/|V_1||V_2||
      ≤ p.
","(,p)-regular"
"$(\eta,b,p)$-upper-uniform","Let~$G=(V,E)$ be a graph, and fix constants~$0<\eta\leq 1$,~$0<p\leq 1$ and~$b\geq 1$. We say that~$G$ is 
\emph{$(\eta,b,p)$-upper-uniform} if, for all disjoint sets~$X$ and~$Y$  with ~$|X|, |Y| \ge \eta |V|$,
\[
	\frac{e(G;\,X,Y)}{|X||Y|}\leq b p .
\]","0908.3778#ESRG-extended.tex","definition + \emph{}","Let G=(V,E) be a graph, and fix constants 0<η≤ 1, 0<p≤ 1 and b≥ 1. We say that G is 
(η,b,p)-upper-uniform if, for all disjoint sets X and Y  with  |X|, |Y| ≥η |V|,

    e(G; X,Y)/|X||Y|≤ b p .
","(η,b,p)-upper-uniform"
"$(\eta,b,p)$-upper-uniform","Let $G = (V,E)$ be a graph. Let $0 < \eta < 1$, $0 < p< 1$ and $b > 1$. We say that $G$ is $(\eta, b,p)$-upper-uniform, if for all disjoint sets $X$ and $Y$ with $|X|,|Y| \geq \eta |V|$,
$$d_G(X,Y)=\frac{e_G(X,Y)}{|X||Y|}\leq bp.$$","1902.07618#1902.07618.tex","definition[]","Let G = (V,E) be a graph. Let 0 < η < 1, 0 < p< 1 and b > 1. We say that G is (η, b,p)-upper-uniform, if for all disjoint sets X and Y with |X|,|Y| ≥η |V|,

    d_G(X,Y)=e_G(X,Y)/|X||Y|≤ bp.
","(η,b,p)-upper-uniform"
"$(r,\ell,t,C,\alpha)$-good;$(C,\alpha)$-dense","[Good function, $(C,\alpha)$-dense]\label{def:good}
  A function $S \in \cF_\ell^{r,t}(Y)$ is \emph{$(r,\ell,t,C,\alpha)$-good}
  for a tuple $\tpl{e}{q}$ and $(X,Y)$ if there exist
  sets $$E_{q+1},\ldots,E_\ell \subset E(X), \quad \textup{with} \quad
  \ol{d}(E_j) \ge 2^{-\ell} \alpha C \quad \textup{ for each $q + 1 \le j
    \le \ell$,}$$ such that for every $e_{q+1} \in E_{q+1}, \ldots, e_\ell
  \in E_\ell$, we have $\tpl{e}{\ell} \to S$.

  When the constants $(r,\ell,t,C,\alpha)$ and the sets $(X,Y)$ are clear
  from the context, we shall omit them. We shall abbreviate
  `$(r,\ell,t,C,\alpha)$-good for $\tpl{e}{0}$ and $(X,Y)$' to
  `$(r,\ell,t,C,\alpha)$-good for $(X,Y)$'.

  The pair $(X,Y)$ is \emph{$(C,\alpha)$-dense} in copies of $Z_\ell^{r,t}$
  if there exist at least $2^{-\ell} \alpha |Y|^s$ families $S \in \cF(Y)$
  which are $(r,\ell,t,C,\alpha)$-good for $(X,Y)$. %$\tpl{e}{0}$ and $(X,Y)$.","1108.1746#ChromaticThreshold.tex","definition + \emph{}","[Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for a tuple eq and (X,Y) if there exist
  sets 
    E_q+1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C
 such that for every e_q+1∈ E_q+1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  When the constants (r,ℓ,t,C,α) and the sets (X,Y) are clear
  from the context, we shall omit them. We shall abbreviate
  `(r,ℓ,t,C,α)-good for e0 and (X,Y)' to
  `(r,ℓ,t,C,α)-good for (X,Y)'.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y). ","(r,ℓ,t,C,α)-good;(C,α)-dense"
"$(r,\ell,t,C,\alpha)$-good;$(C,\alpha)$-dense","[Definition~23 of~\cite{ChromThresh}, Good function, $(C,\alpha)$-dense]\label{def:good}
  A function $S \in \cF_\ell^{r,t}(Y)$ is \emph{$(r,\ell,t,C,\alpha)$-good}
  for  $(X,Y)$ if there exist sets 
  \[E_{1},\ldots,E_\ell \subset E(X), \quad \textup{with} \quad
  \ol{d}(E_j) \ge 2^{-\ell} \alpha C \quad \textup{ for each $1 \le j
    \le \ell$\,,}\]
    such that for every $e_{1} \in E_{1}, \ldots, e_\ell
  \in E_\ell$, we have $\tpl{e}{\ell} \to S$.

  The pair $(X,Y)$ is \emph{$(C,\alpha)$-dense} in copies of $Z_\ell^{r,t}$
  if there exist at least $2^{-\ell} \alpha |Y|^s$ families $S \in \cF(Y)$
  which are $(r,\ell,t,C,\alpha)$-good for $(X,Y)$.","1508.03870#RCTdense.tex","definition + \emph{}","[Definition 23 of <cit.>, Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for  (X,Y) if there exist sets 
  
    E_1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C

    such that for every e_1∈ E_1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y).","(r,ℓ,t,C,α)-good;(C,α)-dense"
"$GC_n$ set","[\cite{CY77}]
An n-poised set ${\mathcal X}$ is called \emph{$GC_n$ set} (or $GC$ set)
 if  the
$n$-fundamental polynomial of each node $A\in{\mathcal X}$ is a
product of $n$  linear factors.","1807.08182#H.V.conj.tex","definition + \emph{}","[<cit.>]
An n-poised set 𝒳 is called GC_n set (or GC set)
 if  the
n-fundamental polynomial of each node A∈𝒳 is a
product of n  linear factors.","GC_n set"
"$GC_n$ set","[Chung, Yao, \cite{CY77}]
An n-poised set ${\mathcal X}$ is called \emph{$GC_n$ set} if  the
$n$-fundamental polynomial of each node $A\in{\mathcal X}$ is a
product of $n$  linear factors.","1712.06155#H.V.01.20.tex","definition + \emph{}","[Chung, Yao, <cit.>]
An n-poised set 𝒳 is called GC_n set if  the
n-fundamental polynomial of each node A∈𝒳 is a
product of n  linear factors.","GC_n set"
"$G[a,b{","}$, interval subgraph, $w(G)$]
%We write $G[a,b]$ for the subgraph induced by $\bigcup_{a\leq i \leq b} V_i$ (for $1\leq a \leq b \leq l$), and we call each of these an \emph{interval subgraph} .
%Let $w(G)$ be the maximum number $M$ such that $G$ has an $M$-wide interval subgraph.
%","1105.2851#manuscript.tex","definition[]",", interval subgraph,w(G)]","G[a,b"
"$G[a,b{","}$, interval subgraph, $w(G)$]
We write $G[a,b]$ for the subgraph induced by $\bigcup_{a\leq i \leq b} V_i$ (for $1\leq a \leq b \leq l$), and we call each of these an \emph{interval subgraph} .
Let $w(G)$ be the maximum number $M$ such that $G$ has an $M$-wide interval subgraph.","1008.4210#manuscript.tex","definition[]",", interval subgraph,w(G)]
We writeG[a,b]for the subgraph induced by⋃_a≤i ≤b V_i(for1≤a ≤b ≤l), and we call each of these an interval subgraph .
Letw(G)be the maximum numberMsuch thatGhas anM-wide interval subgraph.","G[a,b"
"$I$-labeled graph","Let $I$ be a finite set. 
An \emph{$I$-labeled graph} is a triple $\Gamma = (V,\omega,\tau)$ where
\ben
\item[(i)] $V$ is a finite vertex set;
\item[(ii)] $\omega : V\times V \to \cA$ is a map;
\item[(iii)] $\tau : V \to \cP(I)$ is a map assigning a subset of $I$ to each vertex.
\een","1408.0589#1408.0589.tex","definition + \emph{}","Let I be a finite set. 
An I-labeled graph is a triple Γ = (V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω : V× V → is a map;

  (iii) τ : V →(I) is a map assigning a subset of I to each vertex.
","I-labeled graph"
"$I$-labeled graph","An \emph{$I$-labeled graph} for a finite set $I$ is a triple $\Gamma=(V,\omega,\tau)$ where
\ben
\item[(i)] $V$ is a finite vertex set;
\item[(ii)] $\omega: V\times V\to \cA$ is a map;
\item[(iii)] $\tau: V\to \mathcal{P}(I)$ is a map assigning a subset of $I$ to each vertex.
\een
We view $\Gamma$ as a weighted directed graph on the vertex set $V$ with an edge  $x\xrightarrow{\omega(x,y)} y$ if $\omega(x,y)\neq 0$.","1911.05961#affine_FPF_involution.tex","definition + \emph{}","An I-labeled graph for a finite set I is a triple Γ=(V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω: V× V→ is a map;

  (iii) τ: V→𝒫(I) is a map assigning a subset of I to each vertex.
We view Γ as a weighted directed graph on the vertex set V with an edge  x y if ω(x,y)≠ 0.","I-labeled graph"
"$M$-Perfect Matching Width","Let $G$ be a matching covered graph and $\Matching \in \perf{G}$.
		The \emph{$\Matching$-perfect matching width} , $\Mpmw{\Matching}{}$, is defined as the smallest width of a perfect matching decomposition of $G$ such that for every inner edge $e$ holds if $\br{T_1,T_2} = \splitTree{T}{e}$, then $\delta\br{\Leaves{T_1}}$ and $\delta\br{\Leaves{T_2}}$ are $\Matching$-\conformal.","1902.01322#bipgrid.tex","definition[]","Let G be a matching covered graph and ∈G.
		The -perfect matching width , , is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are -.","M-Perfect Matching Width"
"$M$-Perfect Matching Width","Let $G$ be a matching covered graph and $M \in \Perf{G}$.
	The \emph{$M$-perfect matching width} , $\Mpmw{M}{G}$, is defined as the smallest width of a perfect matching decomposition of $G$ such that for every inner edge $e$ holds if $\Brace{T_1,T_2} = \splitTree{T}{e}$, then $\delta\Brace{\Leaves{T_1}}$ and $\delta\Brace{\Leaves{T_2}}$ are $M$-\conformal.","1902.06307#pmw2.tex","definition[]","Let G be a matching covered graph and M ∈G.
	The M-perfect matching width , MG, is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are M-.","M-Perfect Matching Width"
"$M$-direction","\label{def:Mdirection}
		Let $G=\Brace{A\cup B, E}$ be a bipartite graph and let $M\in\Perf{G}$ be a perfect matching of $G$. 
		The \emph{$M$-direction} $\DirM{G}{M}$ of $G$ is defined as follows.
		Let $M = \Set{a_1b_1,\dots,a_{\Abs{M}}b_{\Abs{M}}}$
		with $a_i\in A, b_i\in B$ for $1\le i\le \Abs{M}$.
		Then,
		\begin{enumerate}
			\item $\Fkt{V}{\DirM{G}{M}}\coloneqq\Set{v_1,\dots,v_{\Abs{M}}}$ and
			
			\item $\Fkt{E}{\DirM{G}{M}}\coloneqq\CondSet{\Brace{v_i,v_j}}{a_ib_j\in\Fkt{E}{G}, i \neq j}$.	
		\end{enumerate}","1902.06307#pmw2.tex","definition + \emph{}","
		Let G=A∪ B, E be a bipartite graph and let M∈G be a perfect matching of G. 
		The M-direction GM of G is defined as follows.
		Let M = a_1b_1,…,a_Mb_M
		with a_i∈ A, b_i∈ B for 1≤ i≤M.
		Then,
		
			
  * VGMv_1,…,v_M and
			
			
  * EGMv_i,v_ja_ib_j∈EG, i ≠ j.	
		","M-direction"
"$M$-direction","\label{def:Mdirection}
	Let $G=\Brace{A\cup B, E}$ be a bipartite graph and let $M\in\Perf{G}$ be a perfect matching of $G$. 
	The \emph{$M$-direction} $\DirM{G}{M}$ of $G$ is defined as follows.
	Let $M = \Set{a_1b_1,\dots,a_{\Abs{M}}b_{\Abs{M}}}$
	with $a_i\in A, b_i\in B$ for $1\le i\le \Abs{M}$.
	Then,
	\begin{enumerate}
		\item $\Fkt{V}{\DirM{G}{M}}\coloneqq\Set{v_1,\dots,v_{\Abs{M}}}$ and
		
		\item $\Fkt{E}{\DirM{G}{M}}\coloneqq\CondSet{\Brace{v_i,v_j}}{a_ib_j\in\Fkt{E}{G}, i \neq j}$.	
	\end{enumerate}","1903.02872#2colourings.tex","definition + \emph{}","
	Let G=A∪ B, E be a bipartite graph and let M∈G be a perfect matching of G. 
	The M-direction GM of G is defined as follows.
	Let M = a_1b_1,…,a_Mb_M
	with a_i∈ A, b_i∈ B for 1≤ i≤M.
	Then,
	
		
  * VGMv_1,…,v_M and
		
		
  * EGMv_i,v_ja_ib_j∈EG, i ≠ j.	
	","M-direction"
"$M$\!-equivalent;$M$\!-ambiguous;$M$\!-unambiguous","Suppose $\Sigma$ is an ordered alphabet.
Two words $w,w'\in \Sigma^*$ are \emph{$M$\!-equivalent} , denoted by $w\equiv_Mw'$, iff $\Psi_{\Sigma}(w)=\Psi_{\Sigma}(w')$.
A word $w\in \Sigma^*$ is \emph{$M$\!-ambiguous} iff it is $M$\!-equivalent to another distinct word. Otherwise, $w$ is \emph{$M$\!-unambiguous} . For any word $w\in\Sigma^*$, we denote by $C_w$ the set of all words that are $M$\!-equivalent to $w$.","1807.06171#1807.06171.tex","definition + \emph{}","Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is M-unambiguous . For any word w∈Σ^*, we denote by C_w the set of all words that are M-equivalent to w.","M-equivalent;M-ambiguous;M-unambiguous"
