dd_page_title,term,definition,def_page_title,categories,plain_text_definition
Definition:Acyclic,Acyclic,"Let $\mathbf A$ be an abelian category with enough injectives.

Let $\mathbf B$ be an abelian category.

Let $F : \mathbf A \to \mathbf B$ be a left exact functor.

Let $X$ be an object of $\mathbf A$.


Then $X$ is $F$-acyclic  if and only if  $\mathrm R^i F \left(   \right)X = 0$ for all positive integers $i \in \mathbb Z_{i \mathop \ge 1}$.

In the above $\mathrm R^i F$ denotes the $i$-th right derived functor of $F$.


Category:Definitions/Homological Algebra",Definition:Acyclic Object,['Definitions/Homological Algebra'],"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an abelian category.

Let F : 𝐀→𝐁 be a left exact functor.

Let X be an object of 𝐀.


Then X is F-acyclic  if and only if  R^i F (   )X = 0 for all positive integers i ∈ℤ_i ≥ 1.

In the above R^i F denotes the i-th right derived functor of F.


Category:Definitions/Homological Algebra"
Definition:Acyclic,Acyclic,"Let $\mathbf A$ be an abelian category with enough injectives.

Let $\mathbf B$ be an arbitrary abelian category.

Let $F : \mathbf A \to \mathbf B$ be a left-exact functor.

Let $X$ be an object in $\mathbf A$.


An $F$-acyclic resolution of $X$ is a cochain complex $P := \left\langle d^i : I^i \to I^{i + 1}  \right\rangle_{i \mathop \in \mathbb Z}$ in $\mathbf A$, such that:
:$(1): \quad \forall i < 0 : I^i = 0$
:$(2): \quad I^i$ is $F$-acyclic for all $i \ge 0$
together with a morphism $\varepsilon : X \to I^0$, such that the cochain complex:
:$\begin{xy}
\xymatrix{
\dots \ar[r] & 0 \ar[r] & 0 \ar[r] & X \ar[r]^{\varepsilon} & I^0 \ar[r]^{d^0} & I^1 \ar[r]^{d^1} & I^2 \ar[r]^{d^2} & \dots
}
\end{xy}$
is exact.",Definition:Acyclic Resolution,['Definitions/Homological Algebra'],"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an arbitrary abelian category.

Let F : 𝐀→𝐁 be a left-exact functor.

Let X be an object in 𝐀.


An F-acyclic resolution of X is a cochain complex P := ⟨ d^i : I^i → I^i + 1⟩_i ∈ℤ in 𝐀, such that:
:(1):   ∀ i < 0 : I^i = 0
:(2):    I^i is F-acyclic for all i ≥ 0
together with a morphism ε : X → I^0, such that the cochain complex:
:…[r]     0 [r]     0 [r]     X [r]^ε    I^0 [r]^d^0    I^1 [r]^d^1    I^2 [r]^d^2   …
is exact."
Definition:Acyclic,Acyclic,An acyclic graph is a graph or digraph with no cycles.,Definition:Acyclic Graph,['Definitions/Graph Theory'],An acyclic graph is a graph or digraph with no cycles.
Definition:Acyclic,Acyclic,"Let $X$ be a topological space.

Let $\mathcal F$ be an abelian sheaf on $X$.

Let $\Gamma \left(   \right){X, -} : \mathbf {Ab}  \left(   \right)X \to \mathbf {Ab}$ be the global sections functor on $X$.


Then $\mathcal F$ is acyclic  if and only if  $\mathcal F$ is $\Gamma \left(   \right){X, -}$-acyclic in the category of abelian sheaves $\mathbf {Ab}  \left(   \right)X$ on $X$.",Definition:Acyclic Sheaf,"['Definitions/Homological Algebra', 'Definitions/Sheaf Theory']","Let X be a topological space.

Let ℱ be an abelian sheaf on X.

Let Γ(   )X, - : 𝐀𝐛(   )X →𝐀𝐛 be the global sections functor on X.


Then ℱ is acyclic  if and only if  ℱ is Γ(   )X, --acyclic in the category of abelian sheaves 𝐀𝐛(   )X on X."
Definition:Additive Function,Additive Function,"Let $f: S \to S$ be a mapping on an algebraic structure $\left( S, + \right)$.


Then $f$ is an additive function  if and only if  it preserves the addition operation:
:$\forall x, y \in S: f \left(   \right){x + y} = f \left(   \right)x + f \left(   \right)y$",Definition:Additive Function (Conventional),"['Definitions/Analysis', 'Definitions/Abstract Algebra', 'Definitions/Linear Algebra']","Let f: S → S be a mapping on an algebraic structure ( S, + ).


Then f is an additive function  if and only if  it preserves the addition operation:
:∀ x, y ∈ S: f (   )x + y = f (   )x + f (   )y"
Definition:Additive Function,Additive Function,"Let $\left( R, +, \times \right)$ be a ring.

Let $f: R \to R$ be a mapping on $R$.


Then $f$ is described as completely additive  if and only if :

:$\forall m, n \in R: f \left(   \right){m \times n} = f \left(   \right)m + f \left(   \right)n$


That is, a completely additive function is one where the value of a product of two numbers equals the sum of the value of each one individually.",Definition:Completely Additive Function,"['Definitions/Ring Theory', 'Definitions/Number Theory']","Let ( R, +, ×) be a ring.

Let f: R → R be a mapping on R.


Then f is described as completely additive  if and only if :

:∀ m, n ∈ R: f (   )m × n = f (   )m + f (   )n


That is, a completely additive function is one where the value of a product of two numbers equals the sum of the value of each one individually."
Definition:Additive Function,Additive Function,"Let $\mathcal S$ be an algebra of sets.

Let $f: \mathcal S \to \overline \mathbb R$ be a function, where $\overline \mathbb R$ denotes the set of extended real numbers.


Then $f$ is defined to be additive  if and only if :

:$\forall S, T \in \mathcal S: S \cap T = \varnothing \implies f \left(   \right){S \cup T} = f \left(   \right)S + f \left(   \right)T$

That is, for any two disjoint elements of $\mathcal S$, $f$ of their union equals the sum of $f$ of the individual elements.


Note from Finite Union of Sets in Additive Function that:

:$\ds f \left(   \right){\bigcup_{i \mathop = 1}^n S_i} = \sum_{i \mathop = 1}^n f \left(   \right){S_i}$

where $S_1, S_2, \ldots, S_n$ is any finite collection of pairwise disjoint elements of $\mathcal S$.",Definition:Additive Function (Measure Theory),['Definitions/Measure Theory'],"Let 𝒮 be an algebra of sets.

Let f: 𝒮→R be a function, where R denotes the set of extended real numbers.


Then f is defined to be additive  if and only if :

:∀ S, T ∈𝒮: S ∩ T = ∅ f (   )S ∪ T = f (   )S + f (   )T

That is, for any two disjoint elements of 𝒮, f of their union equals the sum of f of the individual elements.


Note from Finite Union of Sets in Additive Function that:

:f (   )⋃_i  = 1^n S_i = ∑_i  = 1^n f (   )S_i

where S_1, S_2, …, S_n is any finite collection of pairwise disjoint elements of 𝒮."
Definition:Additive Function,Additive Function,"Let $\unicode{x3a3}$ be a $\sigma$-algebra.

Let $f: \unicode{x3a3} \to \overline \mathbb R$ be a function, where $\overline \mathbb R$ denotes the set of extended real numbers.


Then $f$ is defined as countably additive  if and only if :
:$\ds f \left(   \right){\bigcup_{n \mathop \in \mathbb N} E_n} = \sum_{n \mathop \in \mathbb N} f \left(   \right){E_n}$

where $\left\langle E_n \right\rangle$ is any sequence of pairwise disjoint elements of $\unicode{x3a3}$.


That is, for any countably infinite set of pairwise disjoint elements of $\unicode{x3a3}$, $f$ of their union equals the sum of $f$ of the individual elements.",Definition:Countably Additive Function,"['Definitions/Set Systems', 'Definitions/Measure Theory']","Let x3a3 be a σ-algebra.

Let f: x3a3→R be a function, where R denotes the set of extended real numbers.


Then f is defined as countably additive  if and only if :
:f (   )⋃_n ∈ℕ E_n = ∑_n ∈ℕ f (   )E_n

where ⟨ E_n ⟩ is any sequence of pairwise disjoint elements of x3a3.


That is, for any countably infinite set of pairwise disjoint elements of x3a3, f of their union equals the sum of f of the individual elements."
Definition:Adjacent,Adjacent,"Two angles are adjacent if they have an intersecting line in common:

:",Definition:Angle/Adjacent,['Definitions/Angles'],"Two angles are adjacent if they have an intersecting line in common:

:"
Definition:Adjacent,Adjacent,"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.",Definition:Polygon/Adjacent/Side to Vertex,['Definitions/Adjacent (Polygons)'],"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex."
Definition:Adjacent,Adjacent,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side.",Definition:Polygon/Adjacent/Vertex to Side,['Definitions/Adjacent (Polygons)'],"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side."
Definition:Adjacent,Adjacent,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.


Those two vertices are described as adjacent to each other.",Definition:Polygon/Adjacent/Vertices,['Definitions/Adjacent (Polygons)'],"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.


Those two vertices are described as adjacent to each other."
Definition:Adjacent,Adjacent,"Each vertex of a polyhedron is formed by the intersection of a number of faces.

The faces that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex.",Definition:Polyhedron/Adjacent/Face to Vertex,['Definitions/Adjacent (Polyhedra)'],"Each vertex of a polyhedron is formed by the intersection of a number of faces.

The faces that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex."
Definition:Adjacent,Adjacent,"The vertices that intersect a particular face are referred to as the adjacents of that face, or described as adjacent to that face.",Definition:Polyhedron/Adjacent/Vertex to Face,['Definitions/Adjacent (Polyhedra)'],"The vertices that intersect a particular face are referred to as the adjacents of that face, or described as adjacent to that face."
Definition:Adjacent,Adjacent,"Each edge of a polyhedron is formed by the intersection of two faces.

The faces that form a particular edge are referred to as the adjacents of that edge, or described as adjacent to that edge.",Definition:Polyhedron/Adjacent/Face to Edge,['Definitions/Adjacent (Polyhedra)'],"Each edge of a polyhedron is formed by the intersection of two faces.

The faces that form a particular edge are referred to as the adjacents of that edge, or described as adjacent to that edge."
Definition:Adjacent,Adjacent,"The edges that intersect at a particular face are referred to as the adjacents of that face, or described as adjacent to that face.",Definition:Polyhedron/Adjacent/Edge to Face,['Definitions/Adjacent (Polyhedra)'],"The edges that intersect at a particular face are referred to as the adjacents of that face, or described as adjacent to that face."
Definition:Adjacent,Adjacent,"The two sides of a triangle which form a particular vertex are referred to as adjacent to that angle.

Similarly, the two vertices of a triangle to which a particular side contributes are referred to as adjacent to that side.


Category:Definitions/Triangles",Definition:Triangle (Geometry)/Adjacent,['Definitions/Triangles'],"The two sides of a triangle which form a particular vertex are referred to as adjacent to that angle.

Similarly, the two vertices of a triangle to which a particular side contributes are referred to as adjacent to that side.


Category:Definitions/Triangles"
Definition:Adjacent,Adjacent,":


In a right-angled triangle, for a given non-right angled vertex, the adjacent side which is not the hypotenuse is referred to as the adjacent.

In the above figure:
: the adjacent to vertex $A$ is side $c$
: the adjacent to vertex $C$ is side $a$.",Definition:Triangle (Geometry)/Right-Angled/Adjacent,['Definitions/Right Triangles'],":


In a right-angled triangle, for a given non-right angled vertex, the adjacent side which is not the hypotenuse is referred to as the adjacent.

In the above figure:
: the adjacent to vertex A is side c
: the adjacent to vertex C is side a."
Definition:Adjoint,Adjoint,"Let $\mathcal H$ and $\mathcal K$ be Hilbert spaces.

Let $\mathcal B \left(   \right){\mathcal H, \mathcal K}$ be the set of bounded linear transformations from $\mathcal H$ to $\mathcal K$.

Let $A \in \mathcal B \left(   \right){\mathcal H, \mathcal K}$ be a bounded linear transformation.


By Existence and Uniqueness of Adjoint, there exists a unique bounded linear transformation $A^* \in \mathcal B \left(   \right){\mathcal K, \mathcal H}$ such that:

:$\forall h \in \mathcal H, k \in \mathcal K: {\left\langle A \left(   \right)h,   \right\rangle k}_\mathcal K = {\left\langle h,   \right\rangle{A^* \left(   \right)k} }_\mathcal H$

where $\left\langle \cdot,   \right\rangle\cdot_\mathcal H$ and $\left\langle \cdot,   \right\rangle\cdot_\mathcal K$ are inner products on $\mathcal H$ and $\mathcal K$ respectively.


$A^*$ is called the adjoint of $A$.


The operation of assigning $A^*$ to $A$ may be referred to as adjoining.",Definition:Adjoint Linear Transformation,"['Definitions/Adjoints', 'Definitions/Linear Transformations on Hilbert Spaces']","Let ℋ and 𝒦 be Hilbert spaces.

Let ℬ(   )ℋ, 𝒦 be the set of bounded linear transformations from ℋ to 𝒦.

Let A ∈ℬ(   )ℋ, 𝒦 be a bounded linear transformation.


By Existence and Uniqueness of Adjoint, there exists a unique bounded linear transformation A^* ∈ℬ(   )𝒦, ℋ such that:

:∀ h ∈ℋ, k ∈𝒦: ⟨ A (   )h,   ⟩ k_𝒦 = ⟨ h,   ⟩A^* (   )k_ℋ

where ⟨·,   ⟩·_ℋ and ⟨·,   ⟩·_𝒦 are inner products on ℋ and 𝒦 respectively.


A^* is called the adjoint of A.


The operation of assigning A^* to A may be referred to as adjoining."
Definition:Adjoint,Adjoint,"Let $\left( S, \preceq \right)$ and $\left( T, \precsim \right)$ be ordered sets.

Let $g: S \to T$, $d: T \to S$ be mappings.

Let $\left( g, d \right)$ be a Galois connection.


Then:

:$g$ is called the upper adjoint of the Galois connection.",Definition:Galois Connection/Upper Adjoint,['Definitions/Galois Connections'],"Let ( S, ≼) and ( T, ≾) be ordered sets.

Let g: S → T, d: T → S be mappings.

Let ( g, d ) be a Galois connection.


Then:

:g is called the upper adjoint of the Galois connection."
Definition:Adjoint,Adjoint,"Let $\left( S, \preceq \right)$ and $\left( T, \precsim \right)$ be ordered sets.

Let $g: S \to T$, $d: T \to S$ be mappings.

Let $\left( g, d \right)$ be a Galois connection.


Then:

:$d$ is called the lower adjoint of the Galois connection.",Definition:Galois Connection/Lower Adjoint,['Definitions/Galois Connections'],"Let ( S, ≼) and ( T, ≾) be ordered sets.

Let g: S → T, d: T → S be mappings.

Let ( g, d ) be a Galois connection.


Then:

:d is called the lower adjoint of the Galois connection."
Definition:Adjoint,Adjoint," 
 ",Definition:Adjoint Functor,['Definitions/Category Theory']," 
 "
Definition:Adjoint,Adjoint,"Let $\mathbf C$, $\mathbf D$ be locally small categories.

Let $F : \mathbf D \to \mathbf C$ and $G : \mathbf C \to \mathbf D$ be functors.

$F$ is a left adjoint functor of $G$  if and only if  there exists an adjunction $\left( F, G, \alpha \right)$.",Definition:Left Adjoint Functor,['Definitions/Category Theory'],"Let 𝐂, 𝐃 be locally small categories.

Let F : 𝐃→𝐂 and G : 𝐂→𝐃 be functors.

F is a left adjoint functor of G  if and only if  there exists an adjunction ( F, G, α)."
Definition:Adjoint,Adjoint,"Let $\mathbf C$, $\mathbf D$ be locally small categories.

Let $F : \mathbf D \to \mathbf C$ and $G : \mathbf C \to \mathbf D$ be functors.

$G$ is a right adjoint functor of $F$  if and only if  there exists an adjunction $\left( F, G, \alpha \right)$.",Definition:Right Adjoint Functor,['Definitions/Category Theory'],"Let 𝐂, 𝐃 be locally small categories.

Let F : 𝐃→𝐂 and G : 𝐂→𝐃 be functors.

G is a right adjoint functor of F  if and only if  there exists an adjunction ( F, G, α)."
Definition:Affine,Affine,"Affine geometry is the study of the geometry of affine spaces.

Hence it is the study of properties and types of geometric figures which are invariant under an affine transformation.

It provides a modern axiomatic approach to the study of configurations of lines, planes and hypersurfaces.

In particular an affine space can be thought of as a finite dimensional vector space with no distinguished origin, and its affine transformations are those that preserve collinearity.",Definition:Affine Geometry,"['Definitions/Affine Geometry', 'Definitions/Geometry', 'Definitions/Branches of Mathematics']","Affine geometry is the study of the geometry of affine spaces.

Hence it is the study of properties and types of geometric figures which are invariant under an affine transformation.

It provides a modern axiomatic approach to the study of configurations of lines, planes and hypersurfaces.

In particular an affine space can be thought of as a finite dimensional vector space with no distinguished origin, and its affine transformations are those that preserve collinearity."
Definition:Affine,Affine,"Let $K$ be a field.

Let $A = K \left[ X_1, \ldots, X_n \right]$ be the ring of polynomial functions in $n$ variables over $K$.


Then a subset $X \subseteq K^n$ is an affine algebraic set  if and only if  it is the zero locus of some set $T \subseteq A$.",Definition:Affine Algebraic Set,"['Definitions/Algebraic Geometry', 'Definitions/Affine Geometry']","Let K be a field.

Let A = K [ X_1, …, X_n ] be the ring of polynomial functions in n variables over K.


Then a subset X ⊆ K^n is an affine algebraic set  if and only if  it is the zero locus of some set T ⊆ A."
Definition:Affine,Affine,"Let $k$ be a field.

Let $n \ge 1$ be an Integer.

Then a subset $X \subseteq k^n$ is an affine algebraic variety if the following hold:

:$(1): \quad X$ is an affine algebraic set 

:$(2): \quad X$ is irreducible   the Zariski topology.",Definition:Affine Algebraic Variety,['Definitions/Algebraic Geometry'],"Let k be a field.

Let n ≥ 1 be an Integer.

Then a subset X ⊆ k^n is an affine algebraic variety if the following hold:

:(1):    X is an affine algebraic set 

:(2):    X is irreducible   the Zariski topology."
Definition:Affine,Affine,An affine scheme is a ringed space which is isomorphic to the spectrum of a commutative ring with unity.,Definition:Affine Scheme,['Definitions/Schemes'],An affine scheme is a ringed space which is isomorphic to the spectrum of a commutative ring with unity.
Definition:Affine,Affine,"An affine monoid is a monoid that is:
: finitely generated
and:
: isomorphic to a submonoid of a free abelian group $\mathbb Z^d$, for some $d \in \mathbb Z_{\ge 0}$.",Definition:Affine Monoid,['Definitions/Monoids'],"An affine monoid is a monoid that is:
: finitely generated
and:
: isomorphic to a submonoid of a free abelian group ℤ^d, for some d ∈ℤ_≥ 0."
Definition:Affine,Affine,"Let $\mathcal E$ be an affine space with tangent space $E$.

Let $\mathcal F \subseteq \mathcal E$ be a subset of $\mathcal E$.


Then $\mathcal F$ is an affine subspace of $\mathcal E$  if and only if  there exists a point $p \in \mathcal E$ such that:

:$F_p := \left\lbrace q - p: q \in \mathcal F \right\rbrace$

is a vector subspace of the vector space $E$.",Definition:Affine Subspace,['Definitions/Affine Geometry'],"Let ℰ be an affine space with tangent space E.

Let ℱ⊆ℰ be a subset of ℰ.


Then ℱ is an affine subspace of ℰ  if and only if  there exists a point p ∈ℰ such that:

:F_p := { q - p: q ∈ℱ}

is a vector subspace of the vector space E."
Definition:Age,Age,"The age of a physical object is defined as the period of time over which it has been in existence.


Category:Definitions/Applied Mathematics",Definition:Age (Time),['Definitions/Applied Mathematics'],"The age of a physical object is defined as the period of time over which it has been in existence.


Category:Definitions/Applied Mathematics"
Definition:Age,Age,"Let $\mathcal M$ be an $\mathcal L$-structure.


An age of $\mathcal M$ is a class $K$ of $\mathcal L$-structures such that:
* if $\mathcal A$ is a finitely generated $\mathcal L$-structure such that there is an $\mathcal L$-embedding $\mathcal A \to \mathcal M$, then $\mathcal A$ is isomorphic to some structure in $K$,
* no two structures in $K$ are isomorphic, and
* $K$ does not contain any structures which are not finitely generated or do not embed into $\mathcal M$.

That is, $K$ is an age of $\mathcal M$  if and only if  it contains exactly one representative from each isomorphism type of the finitely-generated structures that embed into $\mathcal M$.

 

Category:Definitions/Model Theory for Predicate Logic",Definition:Age (Model Theory),['Definitions/Model Theory for Predicate Logic'],"Let ℳ be an ℒ-structure.


An age of ℳ is a class K of ℒ-structures such that:
* if 𝒜 is a finitely generated ℒ-structure such that there is an ℒ-embedding 𝒜→ℳ, then 𝒜 is isomorphic to some structure in K,
* no two structures in K are isomorphic, and
* K does not contain any structures which are not finitely generated or do not embed into ℳ.

That is, K is an age of ℳ  if and only if  it contains exactly one representative from each isomorphism type of the finitely-generated structures that embed into ℳ.

 

Category:Definitions/Model Theory for Predicate Logic"
Definition:Aggregation,Aggregation,"Parenthesis is a syntactical technique to disambiguate the meaning of a logical formula.

It allows one to specify that a logical formula should (temporarily) be regarded as being a single entity, being on the same level as a statement variable.

Such a formula is referred to as being in parenthesis.

Typically, a formal language, in defining its formal grammar, ensures by means of parenthesis that all of its well-formed words are uniquely readable.


Generally, brackets are used to indicate that certain formulas are in parenthesis.

The brackets that are mostly used are round ones, the left (round) bracket $($ and the right (round) bracket $)$.",Definition:Parenthesis,"['Definitions/Parenthesis', 'Definitions/Symbolic Logic', 'Definitions/Algebra', 'Definitions/Arithmetic']","Parenthesis is a syntactical technique to disambiguate the meaning of a logical formula.

It allows one to specify that a logical formula should (temporarily) be regarded as being a single entity, being on the same level as a statement variable.

Such a formula is referred to as being in parenthesis.

Typically, a formal language, in defining its formal grammar, ensures by means of parenthesis that all of its well-formed words are uniquely readable.


Generally, brackets are used to indicate that certain formulas are in parenthesis.

The brackets that are mostly used are round ones, the left (round) bracket ( and the right (round) bracket )."
