file_name,extraction_rule,plain_text_def,plain_text_term
1302.2248#erdos100.tex,definition + \emph{},"[(,p)-regular pair]
	
	Let >0, let p∈(0,1], let H=(V,E) be a graph, 
	and let X, Y⊆ V be non-empty and disjoint. We say the pair (X,Y) is (,p)-regular
	if 
	
    |d_H(X,Y)-d_H(X',Y')|< p

	for all subsets X'⊆ X and Y'⊆ Y with |X'|≥|X| and |Y'|≥|Y|.","(,p)-regular"
0908.3778#ESRG-extended.tex,definition + \emph{},"
A bipartite graph  B = (V_1 ∪ V_2, E)  is called (,p)-regular if, for 
all V_1' ⊆ V_1 and V_2' ⊆ V_2  with  |V_1'| ≥ |V_1| 
and |V_2'| ≥ |V_2|, 

    | e(B; V_1', V_2')/|V_1'||V_2'| -|E|/|V_1||V_2||
      ≤ p.
","(,p)-regular"
0908.3778#ESRG-extended.tex,definition + \emph{},"Let G=(V,E) be a graph, and fix constants 0<η≤ 1, 0<p≤ 1 and b≥ 1. We say that G is 
(η,b,p)-upper-uniform if, for all disjoint sets X and Y  with  |X|, |Y| ≥η |V|,

    e(G; X,Y)/|X||Y|≤ b p .
","(η,b,p)-upper-uniform"
1902.07618#1902.07618.tex,definition[],"Let G = (V,E) be a graph. Let 0 < η < 1, 0 < p< 1 and b > 1. We say that G is (η, b,p)-upper-uniform, if for all disjoint sets X and Y with |X|,|Y| ≥η |V|,

    d_G(X,Y)=e_G(X,Y)/|X||Y|≤ bp.
","(η,b,p)-upper-uniform"
1108.1746#ChromaticThreshold.tex,definition + \emph{},"[Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for a tuple eq and (X,Y) if there exist
  sets 
    E_q+1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C
 such that for every e_q+1∈ E_q+1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  When the constants (r,ℓ,t,C,α) and the sets (X,Y) are clear
  from the context, we shall omit them. We shall abbreviate
  `(r,ℓ,t,C,α)-good for e0 and (X,Y)' to
  `(r,ℓ,t,C,α)-good for (X,Y)'.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y). ","(r,ℓ,t,C,α)-good;(C,α)-dense"
1508.03870#RCTdense.tex,definition + \emph{},"[Definition 23 of <cit.>, Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for  (X,Y) if there exist sets 
  
    E_1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C

    such that for every e_1∈ E_1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y).","(r,ℓ,t,C,α)-good;(C,α)-dense"
1807.08182#H.V.conj.tex,definition + \emph{},"[<cit.>]
An n-poised set 𝒳 is called GC_n set (or GC set)
 if  the
n-fundamental polynomial of each node A∈𝒳 is a
product of n  linear factors.",GC_n set
1712.06155#H.V.01.20.tex,definition + \emph{},"[Chung, Yao, <cit.>]
An n-poised set 𝒳 is called GC_n set if  the
n-fundamental polynomial of each node A∈𝒳 is a
product of n  linear factors.",GC_n set
1105.2851#manuscript.tex,definition[],", interval subgraph,w(G)]","G[a,b"
1008.4210#manuscript.tex,definition[],", interval subgraph,w(G)]
We writeG[a,b]for the subgraph induced by⋃_a≤i ≤b V_i(for1≤a ≤b ≤l), and we call each of these an interval subgraph .
Letw(G)be the maximum numberMsuch thatGhas anM-wide interval subgraph.","G[a,b"
1408.0589#1408.0589.tex,definition + \emph{},"Let I be a finite set. 
An I-labeled graph is a triple Γ = (V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω : V× V → is a map;

  (iii) τ : V →(I) is a map assigning a subset of I to each vertex.
",I-labeled graph
1911.05961#affine_FPF_involution.tex,definition + \emph{},"An I-labeled graph for a finite set I is a triple Γ=(V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω: V× V→ is a map;

  (iii) τ: V→𝒫(I) is a map assigning a subset of I to each vertex.
We view Γ as a weighted directed graph on the vertex set V with an edge  x y if ω(x,y)≠ 0.",I-labeled graph
1902.01322#bipgrid.tex,definition[],"Let G be a matching covered graph and ∈G.
		The -perfect matching width , , is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are -.",M-Perfect Matching Width
1902.06307#pmw2.tex,definition[],"Let G be a matching covered graph and M ∈G.
	The M-perfect matching width , MG, is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are M-.",M-Perfect Matching Width
1902.06307#pmw2.tex,definition + \emph{},"
		Let G=A∪ B, E be a bipartite graph and let M∈G be a perfect matching of G. 
		The M-direction GM of G is defined as follows.
		Let M = a_1b_1,…,a_Mb_M
		with a_i∈ A, b_i∈ B for 1≤ i≤M.
		Then,
		
			
  * VGMv_1,…,v_M and
			
			
  * EGMv_i,v_ja_ib_j∈EG, i ≠ j.	
		",M-direction
1903.02872#2colourings.tex,definition + \emph{},"
	Let G=A∪ B, E be a bipartite graph and let M∈G be a perfect matching of G. 
	The M-direction GM of G is defined as follows.
	Let M = a_1b_1,…,a_Mb_M
	with a_i∈ A, b_i∈ B for 1≤ i≤M.
	Then,
	
		
  * VGMv_1,…,v_M and
		
		
  * EGMv_i,v_ja_ib_j∈EG, i ≠ j.	
	",M-direction
1807.06171#1807.06171.tex,definition + \emph{},"Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is M-unambiguous . For any word w∈Σ^*, we denote by C_w the set of all words that are M-equivalent to w.",M-equivalent;M-ambiguous;M-unambiguous
1901.03937#1901.03937.tex,definition + \emph{},"Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is . For any word w∈Σ^*, we denote by C_w the set of all words
that are M-equivalent to w.",M-equivalent;M-ambiguous;M-unambiguous
1808.04102#1808.04102.tex,definition + \emph{},"Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is M-unambiguous . We denote the M-equivalence class of a word w∈Σ^* by C_w.",M-equivalent;M-ambiguous;M-unambiguous
0908.2899#paper.tex,definition + \emph{},"Let (𝒜_1,P_1) and (𝒜_2,P_2) be 
nanophrases over α.
Then (𝒜_1,P_1) and (𝒜_2,P_2) are
S-homotopic (denote ≃_S) 
if they are related by a finite sequence of 
isomorphism, S-homotopy moves (1) - (3) and inverse of (1) - (3).",S-homotopic
0904.3478#nanophrase.tex,definition + \textit{},"Let (α , S) be homotopy data.
 Then nanowords (𝒜_1 ,w_1) and (𝒜_2 , w_2)
 over α are S-homotopic
 (denoted (𝒜_1 , w_1) ≃_S (𝒜_2 , w_2))
 if (𝒜_2 , w_2) can be obtained from (𝒜_1, w_1) by a
 finite sequence of isomorphism, S-homotopy moves 
 (1) - (3) and the inverse of moves (1) - (3).",S-homotopic
1911.05961#affine_FPF_involution.tex,definition + \emph{},"
An S-labeled graph Γ=(V,ω,τ) if a W-graph if the free -module generated by V can be given an -module structure with

    H_sx=vx   s∉τ(x)
    
    -v^-1x+∑_y∈ V;s∉τ(y)ω(x,y)y   s∈τ(x)     for s∈ S and x∈ V.
",W-graph
1408.0589#1408.0589.tex,definition + \emph{},"
Fix a Coxeter system (W,S). 
An S-labeled graph Γ = (V,ω,τ) is a W-graph
if the free -module 

generated by V may be given an $̋-module structure with 

    H_s    x =  v    x    if s ∉τ(x) 
     -v^-1   x +  ∑_y ∈ V ; s ∉τ(y)ω(x→ y)   y   if s ∈τ(x)    for s ∈ S and x ∈ V.",W-graph
1008.4210#manuscript.tex,definition + \emph{},"[Helicopter Cops and Robber game (the jump-searching version)]
For X ⊆ V(G), an X-flap is the vertex set of a connected component of G-X.
Two subsets X,Y ⊆ V(G) touch if N(X) ∩ Y ≠∅.
A position is a pair (X,R), where X⊆ V(G) and R is an X-flap.
(X is the set of vertices currently occupied by the cops and R tells us where the robber is
— since she can run arbitrarily fast, all that matters is which component of G-X contains her.)
At the start, the cops choose a subset X_0, and the robber chooses an X_0-flap R_0.
Note that if there are k cops in the game, then |X_0| ≤ k.
At the start of round i, we have some position (X_i-1,R_i-1).
The cops choose a new set X_i⊆ V(G) with |X_i| ≤ k (and no other restriction), and announce it.
Then the robber, knowing X_i, chooses an X_i-flap R_i which touches R_i-1.
If this is not possible then the cops have won.
Otherwise, i.e. if the robber never runs out of valid moves, the robber wins.",X-flap;touch;position
1105.2851#manuscript.tex,definition + \emph{},"[Helicopter Cops and Robber game (the jump-searching version)]












",X-flap;touch;position
1706.08333#BrownianPermutationAvecDesSimples.tex,definition[],"
A domain Δ is a Δ-domain at 1 if there exist two real numbers  R>1 and π/2<ϕ <π such that

    Δ={z ∈ℂ| |z|<R,  z≠ 1,
    |(1-z)|<ϕ}.
 
By extension, for a complex number ρ≠
0, a domain is a Δ-domain at ρ if it the image by
the mapping z→ρ z of a Δ-domain at 1.  A
Δ-neighborhood of ρ is the intersection of a
neighborhood of ρ and a Δ-domain at ρ.",Δ-domain and Δ-neighborhood
1903.07522#ClassesNonCloses.tex,definition[],"
A domain Δ is a Δ-domain at 1 if there exist two real numbers  R>1 and 0<ϕ<π2 such that

    Δ={z ∈ℂ| |z|<R,  z≠ 1,
    |(z-1)|>ϕ}.
 By extension, for a complex number ρ≠
0, a domain is a Δ-domain at ρ if it the image by
the mapping z→ρ z of a Δ-domain at 1.  A
Δ-neighborhood of ρ is the intersection of a
neighborhood of ρ and a Δ-domain at ρ.",Δ-domain and Δ-neighborhood
1606.01496#canjourmath_new_15Aug.tex,definition[],"
Let G=(V,E) be a locally finite simple graph.
For any two functions f,g: V→ℝ, we define

    2Γ(f,g)   :=(fg)-f g-g f;
    
    2Γ_2(f,g)   :=Γ(f,g)-Γ(f, g)-Γ( f,g).
",Γ and Γ_2 operators
1712.03033#submitted_version.tex,definition[],"
Let G=(V,E) be a locally finite simple graph.
For any two functions f,g: V→ℝ, we define

    2Γ(f,g)   :=Δ(fg)-fΔ g-gΔ f;
    
    2Γ_2(f,g)   :=ΔΓ(f,g)-Γ(f,Δ g)-Γ(Δ f,g).
",Γ and Γ_2 operators
1312.0542#1312.0542.tex,definition + \emph{},Let Γ be a group. Then a Γ-species F is a combinatorial species F equipped with a group action of Γ on F-structures that respects isomorphisms between F-structures.,Γ-species
1304.0139#gdg-bplocks.tex,definition + \emph{},"
 For Γ a finite group, a Γ-species F is a combinatorial species F together with an action of Γ on F-structures which commutes with isomorphisms of those structures.",Γ-species
1204.1402#argthesis.tex,definition + \emph{},"
  For Γ a group, a Γ-species F is a combinatorial species F together with an action of Γ on F-structures by species isomorphisms.
  Explicitly, for F a Γ-species, the diagram
  
    [every node/.style=fill=white]
           (m) [matrix of math nodes, row sep=4em, column sep=4em, text height=1.5ex, text depth=0.25ex]
          
            A     F A    F A
    
            B     F B    F B
    ;
          [->,font=]
          (m-1-1) edge node F (m-1-2)
          edge node σ (m-2-1)
          (m-1-2) edge node γ_A (m-1-3)
          edge node F σ (m-2-2)
          (m-1-3) edge node F σ (m-2-3)
          (m-2-1) edge node F (m-2-2)
          (m-2-2) edge node γ_B (m-2-3);

  commutes for every γ∈Γ and every set bijection σ: A → B.
  (Note that commutativity of the left square is required for F to be a species at all.)",Γ-species
1404.0065#SLII.tex,definition + \emph{},"
 Let Ψ be a finite subset of V_^*.  
 
 We consider  the  hyperplanes in V defined by the equations
 
    ⟨η ,x⟩= n   η∈Ψ   n∈.

 A connected component of the complement of the union of these hyperplanes
 in V is called a Ψ-alcove .",Ψ-alcove
1410.8632#3-Ehrhart-polynomials.tex,definition + \emph{},"
 Let Ψ be a finite subset of ^N.
 We consider  the  hyperplanes in ^N defined by the equations
 
    ⟨η ,b⟩= n, η∈Ψ   n∈.

 A connected component of the complement of the union of these hyperplanes is called a Ψ-alcove .",Ψ-alcove
1407.3953#1407.3953.tex,definition + \emph{},"Let α be an isomorphism between T_n^*() and T_n^*(').  We
will say that a k-subspace π_∞ of H_∞ is -rigid
if for every (k+1)-subspace π containing
π_∞, but not contained in H_∞, the point set {(P)|P
∈π, P∉ H_∞} spans a (k+1)-subspace.",-rigid
1207.4726#1207.4726.tex,definition + \emph{},"Let α be an isomorphism between the graphs Γ_n,q() and Γ_n,q(') (or between T_n^*() and T_n^*(')) that preserves the set .  We
will say that a k-subspace π_∞ of H_∞ is -rigid
if for every (k+1)-subspace π through
π_∞, not contained in H_∞, the point set {(P)|P
∈π, P∉ H_∞} spans a (k+1)-subspace.",-rigid
1603.04268#section-approximate-factorization.tex,definition + \emph{},"For a box =(x,y) of a Young diagram we define its α-content by

    ()=(x,y):= A x - 1/A y∈.
",α-content
1506.06361#section-prologue.tex,definition + \emph{},"For a box =(x,y) of a Young diagram we define its α-content by

    ()=(x,y):= A x - 1/A y∈.
",α-content
1703.02509#1703.02509.tex,definition + \emph{},"[Cf. <cit.>]
Let =(V,A) be a (finite) directed connected multigraph without loops, where V=[n] for some n∈.
A function [n]→_0 is a -parking function if for every non-empty subset I⊆[n] there exists a vertex i∈ I such that the number of elements j∉ I such that (i,j)∈ A, counted with multiplicity, is greater than or equal to (i).",-parking function
1805.04153#1805.04153.tex,definition + \emph{},"[<cit.>, ad.]

Let =(V,A) be a (finite) directed loopless connected multigraph, where V=[n] 
for some natural  n. Then
=(a_1,…,a_n)∈^n is a -parking function if for every non-empty subset I⊆[n] there exists a vertex i∈ I such that the number of arcs (i,j)∈ A with j∉ I, counted with multiplicity, is greater than a_i-2.",-parking function
1907.07639#1907.07639.tex,definition[],"
	A partition  of a k-graph H is -regular if
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	",-regular partition
1804.05513#1804.05513.tex,definition[],"
	A partition  of a k-graph H is -regular if 
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	",-regular partition
0901.3565#JM_partitions.tex,definition + \textit{},"
An ℓ-partition is an ℓ-regular partition with no removable non-horizontal ℓ-rim hooks, such that after removing any number of horizontal ℓ-rim hooks, the remaining diagram still has no removable non-horizontal ℓ-rim hooks.",ℓ-partition
0712.2075#0712.2075.tex,definition + \textit{},"
An ℓ-partition is an ℓ-regular partition which


  * Has no non-horizontal ℓ-rim hooks.

  * After removing any number of horizontal ℓ-rim hooks, the remaining diagram has no non-horizontal ℓ-rim hooks. 
",ℓ-partition
0906.1559#dissertation.tex,definition + \textit{},"
An ℓ-partition is an ℓ-regular partition which


  * Has no non-horizontal ℓ-rim hooks.

  * After removing any number of horizontal ℓ-rim hooks, in any order, the remaining diagram has no non-horizontal ℓ-rim hooks. 
",ℓ-partition
1710.02021#toystablereg.tex,definition[],"
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A  if y is ϵ-good for A with respect to B for all y∈ G.[For those familiar with <cit.>, this is equivalent to saying that B is an ϵ-good subset in the Cayley graph Γ(G,A).]",ϵ-good
1805.06847#1805.06847.tex,definition[],"
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A if y is ϵ-good for A with respect to B for all y∈ G.",ϵ-good
1710.02021#toystablereg.tex,definition + \emph{},"[ϵ-good]
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A  if y is ϵ-good for A with respect to B for all y∈ G.[For those familiar with <cit.>, this is equivalent to saying that B is an ϵ-good subset in the Cayley graph Γ(G,A).]",ϵ-good for A with respect to B;ϵ-good for A
1805.06847#1805.06847.tex,definition + \emph{},"[ϵ-good]
Let A, B⊆ G, and let y∈ G. We say that y is ϵ-good for A with respect to B if |(A-y)∩ B|≤ϵ |B| or |B∖ (A-y)|≤ϵ |B|. We say that B is ϵ-good for A if y is ϵ-good for A with respect to B for all y∈ G.",ϵ-good for A with respect to B;ϵ-good for A
1604.00733#algapplreglemma.tex,definition + \emph{},"Let Y be a n × n square matrix. Let I, J
  ⊆ [n] be intervals. We say that (I, J) is interval
    ϵ-regular for Y if for all subintervals A ⊆ I
  and B ⊆ J with |A| ≥ϵ |I| and |B| ≥ϵ
  |J| one has
  
    |d_Y(A, B) - d_Y(I, J)| ≤ϵ.

  Let  be a partition of [n] into k intervals. We say that
   is interval ϵ-regular for Y if all except at most
  ϵ k^2 pairs of intervals (I, J) of  are
  interval ϵ-regular for Y.",ϵ-regular
1412.8084#Limits_Finite_Structures_Aroskar_Cummings.tex,definition + \emph{},"

A directed r-uniform hypergraph H on X is ϵ-regular if for any cylindric intersection set L in X^[r] with μ(L) ≥ϵ, | μ(H ∩ L) - μ(H)μ(L) | < ϵ.",ϵ-regular
1408.0408#E-O.tex,definition + \emph{},"Let ϵ > 0.  Given a graph G and two nonempty disjoint vertex sets A, B ⊂ V, we say that the pair (A, B) is ϵ-regular if for every X ⊂ A and Y ⊂ B satisfying

    |X| > ϵ |A|    and    |Y| > ϵ |B|

we have

    |d(X, Y) - d(A, B)| < ϵ.
",ϵ-regular
1105.4212#1105.4212.tex,definition + \emph{},"
We say that the composition  γ covers β , denoted β⋖γ, if γ can be obtained from β either by prepending β with a new part of size 1  
(i.e., γ = (1)·β), 
or by adding 1 to the first (leftmost) part of β of size k for some k.
The partial order ≤ defined on the set of all compositions is the transitive closure of these cover relations, and the resulting poset we denote .",γ covers β
1007.0994#1007.0994.tex,definition + \emph{},"[Composition poset] 
We say that

the
composition  γ covers β , denoted β⋖_C γ, if γ can be obtained from β either by prepending β with a new part of size 1, or by adding 1 to the first (leftmost) part of β of size k for some k.
The partial order ≤_C defined on the set of all compositions is the transitive closure of these cover relations, and the resulting poset we denote _C.",γ covers β
1810.06844#Fischer_et_al_Classes_of_treebased_networks_SP.tex,definition + \emph{},"
Let N^u be a proper phylogenetic network on leaf set X with |X| ≥ 2 such that ℒ𝒞𝒰𝒯(N^u) is Hamilton connected. Then, N^u is called an ℋ-connected network.",ℋ
1607.04902#TerryHPLS7-18.tex,definition + \emph{},"
 An _-structure M is ℋ-random if it is complete and for every χ∈ Ch(M), there is an ℒ-structure N∈ such that N_χ M.",ℋ
0905.3252#k-sumsV5.tex,definition + \emph{},"Let := (, ) be a partial field, and let A be a matrix with entries in . Then A is a -matrix if, for every square submatrix A' of A, either (A') = 0 or (A') ∈.",-matrix
1006.1418#stabifragirotaV5.tex,definition + \emph{},"
  Let = (, ) be a partial field and let A be a matrix with entries in . Then A is a -matrix if, for each square submatrix D of A, (D) ∈.",-matrix
1409.5295#1409.5295.tex,definition + \emph{},"If R⊊ V(G) with |R|≥ 4, and ϕ is a 3-coloring of G[R], we define the ϕ-identification of R in G , denoted by G_ϕ(R), to be the graph obtained from G by identifying for each i∈{1,2,3} the vertices colored i in R to a vertex x_i, adding the edges x_1x_2,x_1x_3,x_2x_3 and then deleting parallel edges. 
We say that {x_1x_2,x_1x_3,x_2x_3} is the triangle corresponds to R.",ϕ-identification of R in G
1602.03098#1602.03098.tex,definition + \emph{},"If R⊊ V(G) with |R|≥ 5, and ϕ is a 4-coloring of G[R], we define the ϕ-identification of R in G , denoted by G_ϕ(R), to be the graph obtained from G by identifying for each i∈{1,2,3,4} the vertices colored i in R to a vertex x_i, adding the edges x_ix_j for all i,j∈{1,2,3,4} and then deleting parallel edges.",ϕ-identification of R in G
1409.5116#1409.5116.tex,definition + \emph{},"If R⊊ V(G) with |R|≥ 4, and ϕ is a 3-coloring of G[R], we define the ϕ-identification of R in G , denoted G_ϕ(R), to be the graph obtained by identifying the vertices colored i in R to a vertex x_i for each i∈{1,2,3}, adding the edges x_1x_2,x_1x_3,x_2x_3 and then deleting parallel edges.",ϕ-identification of R in G
1502.04955#1502.04955.tex,definition + \emph{},"Let  be a graph, κ a cardinal and let A V.
We say that A is κ iff there are κ many
disjoint finite paths between any two points of A. We say that A is
κ-connected iff there are κ many disjoint finite
paths inside A between any two points of A.",κ;κ-connected
1507.06187#monopath2_final.tex,definition + \emph{},"Let  be a graph, κ a cardinal and let A⊆ V. We say that A is κ iff for any v≠ w∈ A there are κ-many finite paths from v to w in G which only intersect in v and w. We say that A is κ-connected iff A is κ in the graph induced by A.",κ;κ-connected
1906.08234#1906.08234.tex,definition + \emph{},"An edge-ordered complete graph G on N vertices is ε-regular if, for all intervals I⊂N2 of length at least εN2, and all subsets X and Y of size at least ε N, the pair (X,Y) is (α_I, ε)-regular in the graph G_I.",ε-regular
1902.07618#1902.07618.tex,definition + \emph{},"[ε-regularity]


",ε-regular
1612.06026#2Universality_3.tex,definition + \emph{},"
For a graph G and a set W⊂ V(G), we say G d-expands into W if


  * |N_G(X, W)|≥ d|X| for all X⊂ V(G) with 1≤ |X|<⌈|W|/2d⌉, and,

  * e_G(X,Y)>0 for all disjoint X,Y⊂ V(G) with |X|=|Y|=⌈|W|/2d⌉.
",d-expands
1607.07342#PackingTreesInGnp-160721.tex,definition + \emph{},"Given a graph G and a set W ⊆ V(G), we say that G d-expands into W if
  
  
  * 
    |N_G(X,W)|≥ d|X| for all X⊆ V(G) with 1≤ |X| < |W|/2d and
  
  * 
    e_G(X,Y) > 0 for all disjoint X,Y⊆ V(G) with |X|, |Y| ≥|W|/2d.
  ",d-expands
