title,term,definition
Definition:Action (Dynamics),Action,"The action for a given segment from point A to point B on the trajectory of a dynamical system is defined by the line integral:

:∑_i ∫_A^B p_i  d q_i

where:
:q_i are the generalized coordinates
:p_i are the generalized momenta."
Definition:Action Applied by System,Action,"The action applied by a system from state 1 to state 2 is defined as the definite integral of the Lagrangian over time from state 1 to state 2:

:S_12 = ∫_t_1^t_2ℒ d t
where:
:S_12 is the action from 1 to 2
:t is time
:ℒ is the Lagrangian."
Definition:Group Action,Action,"Let X be a set.

Let ( G, ∘) be a group whose identity is e.


=== Left Group Action ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A (left) group action is an operation ϕ: G × X → X such that:

:∀( g, x ) ∈ G × X: g * x := ϕ(   )g, x∈ X

in such a way that the group action axioms are satisfied:
 

=== Right Group Action ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A right group action is a mapping ϕ: X × G → X such that:

:∀( x, g ) ∈ X × G : x * g := ϕ(   )x, g∈ X

in such a way that the right group action axioms are satisfied:
 

The group G thus acts on the set X.


=== Transformation Group ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


Let G act on X.

Then G can be referred to as the transformation group of X.

=== From Permutation Representation ===
Let G be a group.

Let X be a set.

Let ( Γ(   )X, ∘) be the symmetric group on X.

Let ρ: G →( Γ(   )X, ∘) be a permutation representation.


The group action of G associated to the permutation representation ρ is the group action ϕ: G × X → X defined by:
:ϕ(   )g, x = ρ_g (   )x

where ρ_g : X → X is the permutation representation associated to ρ for g ∈ G by ρ_g (   )x = ϕ(   )g, x."
Definition:Linear Ring Action,Action,"Let R be a ring.

Let M be an abelian group.


=== Left Ring Action ===
Let R be a ring.

Let M be an abelian group.

Let ∘ : R × M → M be a mapping from the cartesian product R × M.


∘ is a left linear ring action of R on M  if and only if  ∘ satisfies the left ring action axioms:
 

=== Right Ring Action ===
Let R be a ring.

Let M be an abelian group.

Let ∘ : M × R → M be a mapping from the cartesian product M × R.


∘ is a right linear ring action of R on M  if and only if  ∘ satisfies the right ring action axioms:
 "
Definition:Acyclic Object,Acyclic,"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an abelian category.

Let F : 𝐀→𝐁 be a left exact functor.

Let X be an object of 𝐀.


Then X is F-acyclic  if and only if  R^i F (   )X = 0 for all positive integers i ∈ℤ_i ≥ 1.

In the above R^i F denotes the i-th right derived functor of F.


Category:Definitions/Homological Algebra"
Definition:Acyclic Resolution,Acyclic,"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an arbitrary abelian category.

Let F : 𝐀→𝐁 be a left-exact functor.

Let X be an object in 𝐀.


An F-acyclic resolution of X is a cochain complex P := ⟨ d^i : I^i → I^i + 1⟩_i ∈ℤ in 𝐀, such that:
:(1):   ∀ i < 0 : I^i = 0
:(2):    I^i is F-acyclic for all i ≥ 0
together with a morphism ε : X → I^0, such that the cochain complex:
:…[r]     0 [r]     0 [r]     X [r]^ε    I^0 [r]^d^0    I^1 [r]^d^1    I^2 [r]^d^2   …
is exact."
Definition:Acyclic Graph,Acyclic,An acyclic graph is a graph or digraph with no cycles.
Definition:Acyclic Sheaf,Acyclic,"Let X be a topological space.

Let ℱ be an abelian sheaf on X.

Let Γ(   )X, - : 𝐀𝐛(   )X →𝐀𝐛 be the global sections functor on X.


Then ℱ is acyclic  if and only if  ℱ is Γ(   )X, --acyclic in the category of abelian sheaves 𝐀𝐛(   )X on X."
Definition:Adjacent (Graph Theory)/Vertices,Adjacent,"=== Undirected Graph ===
Let G = ( V, E ) be an undirected graph.

Two vertices u, v ∈ V of G are adjacent  if and only if  there exists an edge e = { u, v }∈ E of G to which they are both incident.


Otherwise they are non-adjacent.

=== Digraph ===
Let G = ( V, E ) be a digraph.

Two vertices u, v ∈ V of G are adjacent  if and only if  there exists an arc e = ( u, v ) ∈ E of G to which they are both incident.


Otherwise they are non-adjacent.

=== Non-Adjacent ===
Let G = ( V, E ) be a graph.

Two vertices u, v ∈ V of G are non-adjacent  if and only if  they are not adjacent."
Definition:Adjacent (Graph Theory)/Edges,Adjacent,"=== Undirected Graph ===
Let G = ( V, E ) be an undirected graph.

Two edges e_1, e_2 ∈ E of G adjacent  if and only if  there exists a vertex v ∈ V to which they are both incident.


Otherwise they are non-adjacent.

=== Digraph ===
Let G = ( V, E ) be a digraph.

Two arcs e_1, e_2 ∈ E of G adjacent  if and only if  there exists a vertex v ∈ V to which they are both incident.


Otherwise they are non-adjacent.

=== Non-Adjacent ===
Let G = ( V, E ) be a graph.

Two edges u, v ∈ V of G are non-adjacent  if and only if  they are not adjacent."
Definition:Adjacent (Graph Theory)/Faces,Adjacent,":

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  if and only if  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge."
Definition:Angle/Adjacent,Adjacent,"Two angles are adjacent if they have an intersecting line in common:

:"
Definition:Polygon/Adjacent/Side to Vertex,Adjacent,"Each vertex of a polygon is formed by the intersection of two sides.

The two sides that form a particular vertex are referred to as the adjacents of that vertex, or described as adjacent to that vertex."
Definition:Polygon/Adjacent/Vertex to Side,Adjacent,"Each side of a polygon intersects two other sides, and so is terminated at either endpoint by two vertices.

The two vertices that terminate a particular side are referred to as the adjacents of that side, or described as adjacent to that side."
Definition:Adjacent (Graph Theory)/Faces,Adjacent Faces,":

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  if and only if  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge."
Definition:Polyhedron/Adjacent/Faces,Adjacent Faces,Two faces of a polyhedron that meet at the same vertex are adjacent to each other.
Definition:Adjoint Linear Transformation,Adjoint," 


Let ℋ and 𝒦 be Hilbert spaces.

Let ℬ(   )ℋ, 𝒦 be the set of bounded linear transformations from ℋ to 𝒦.

Let A ∈ℬ(   )ℋ, 𝒦 be a bounded linear transformation.


By Existence and Uniqueness of Adjoint, there exists a unique bounded linear transformation A^* ∈ℬ(   )𝒦, ℋ such that:

:∀ h ∈ℋ, k ∈𝒦: ⟨ A (   )h,   ⟩ k_𝒦 = ⟨ h,   ⟩A^* (   )k_ℋ

where ⟨·,   ⟩·_ℋ and ⟨·,   ⟩·_𝒦 are inner products on ℋ and 𝒦 respectively.


A^* is called the adjoint of A.


The operation of assigning A^* to A may be referred to as adjoining."
Definition:Galois Connection/Upper Adjoint,Adjoint,"Let ( S, ≼) and ( T, ≾) be ordered sets.

Let g: S → T, d: T → S be mappings.

Let ( g, d ) be a Galois connection.


Then:

:g is called the upper adjoint of the Galois connection."
Definition:Galois Connection/Lower Adjoint,Adjoint,"Let ( S, ≼) and ( T, ≾) be ordered sets.

Let g: S → T, d: T → S be mappings.

Let ( g, d ) be a Galois connection.


Then:

:d is called the lower adjoint of the Galois connection."
Definition:Adjoint Functor,Adjoint," 
 "
Definition:Left Adjoint Functor,Adjoint,"Let 𝐂, 𝐃 be locally small categories.

Let F : 𝐃→𝐂 and G : 𝐂→𝐃 be functors.

F is a left adjoint functor of G  if and only if  there exists an adjunction ( F, G, α)."
Definition:Right Adjoint Functor,Adjoint,"Let 𝐂, 𝐃 be locally small categories.

Let F : 𝐃→𝐂 and G : 𝐂→𝐃 be functors.

G is a right adjoint functor of F  if and only if  there exists an adjunction ( F, G, α)."
Definition:Adjoint Equation,Adjoint,"Let 𝒮 be a system of n linear first order ODEs:
:𝐲' = 𝐀𝐲

The adjoint equation of 𝒮 is:
:𝐱' = adj( 𝐀) 𝐱

where adj( 𝐀) is the adjugate matrix of 𝐀."
Definition:Age (Time),Age,"The age of a physical object is defined as the period of time over which it has been in existence.


Category:Definitions/Applied Mathematics"
Definition:Age (Model Theory),Age,"Let ℳ be an ℒ-structure.


An age of ℳ is a class K of ℒ-structures such that:
* if 𝒜 is a finitely generated ℒ-structure such that there is an ℒ-embedding 𝒜→ℳ, then 𝒜 is isomorphic to some structure in K,
* no two structures in K are isomorphic, and
* K does not contain any structures which are not finitely generated or do not embed into ℳ.

That is, K is an age of ℳ  if and only if  it contains exactly one representative from each isomorphism type of the finitely-generated structures that embed into ℳ.


 

Category:Definitions/Model Theory for Predicate Logic"
Definition:Parenthesis,Aggregation,"Parenthesis is a syntactical technique to disambiguate the meaning of a logical formula.

It allows one to specify that a logical formula should (temporarily) be regarded as being a single entity, being on the same level as a statement variable.

Such a formula is referred to as being in parenthesis.

Typically, a formal language, in defining its formal grammar, ensures by means of parenthesis that all of its well-formed words are uniquely readable.


Generally, brackets are used to indicate that certain formulas are in parenthesis.

The brackets that are mostly used are round ones, the left (round) bracket ( and the right (round) bracket )."
Definition:Set,Aggregation,"A set is intuitively defined as any aggregation of objects, called elements, which can be precisely defined in some way or other.

We can think of each set as a single entity in itself, and we can denote it (and usually do) by means of a single symbol.


That is, anything you care to think of can be a set. This concept is known as the  .


However, there are problems with the  . If we allow it to be used without any restrictions at all, paradoxes arise, the most famous example probably being Russell's Paradox.


Hence some sources define a set as a  'well-defined' collection of objects, leaving the concept of what constitutes well-definition to later in the exposition."
Definition:Aggregation (Physics),Aggregation,"An aggregation, in the context of physics, is a set of bodies (but usually particles) all of which are under the same or similar conditions, and which are assumed to behave (in certain aspects) as one body.

The concept is deliberately left vague."
Definition:Algebra (Mathematical Branch),Algebra,Algebra is the branch of mathematics which studies the techniques of manipulation of objects and expressions.
Definition:Abstract Algebra,Algebra,"Abstract algebra is a branch of mathematics which studies algebraic structures and algebraic systems.

It can be roughly described as the study of sets equipped with operations."
Definition:Algebraic Structure,Algebra,"An algebraic structure with n operations is an ordered tuple:
:( S, ∘_1, ∘_2, …, ∘_n )
where:
:S is a set
:∘_1, ∘_2, …, ∘_n are n binary operations which are defined on all the elements of S × S.


=== One Operation ===
An algebraic structure with 1 operation is an ordered pair:
:( S, ∘)
where:
:S is a set
:∘ is a binary operation defined on all the elements of S × S.

=== Two Operations ===
An algebraic structure with 2 operations is an ordered triple:
:( S, ∘, * )
where:
:S is a set
:∘ and * are binary operations defined on all the elements of S × S."
Definition:Linear Algebra (Mathematical Branch),Algebra,Linear algebra is the branch of algebra which studies vector spaces and linear transformations between them.
Definition:Vector Algebra,Algebra,Vector Algebra is the branch of mathematics which studies the algebra of vector spaces.
Definition:Algebra Loop,Algebra,"An algebra loop ( S, ∘) is a quasigroup with an identity element.
:∃ e ∈ S: ∀ x ∈ S: x ∘ e = x = e ∘ x"
Definition:Formal Language/Alphabet,Alphabet,"Let ℒ be a formal language.


The alphabet 𝒜 of ℒ is a set of symbols from which collations in ℒ may be constructed.

An alphabet consists of the following parts:

:The letters
:The signs.


Depending on the specific nature of any particular formal language, these too may be subcategorized.


=== Letter ===
A letter of a formal language is a more or less arbitrary symbol whose interpretation depends on the specific context.

In building a formal language, letters are considered to be the undefined terms of said language.


An important part of assigning semantics to a formal language is to provide an interpretation for its letters.


=== Vocabulary ===
The vocabulary of a formal language is the collection of all of its letters.

As such, it forms part of the alphabet of this language.


Each signature for the language may have a different vocabulary.

However, different signatures only have different members of the respective classes of symbols comprising the alphabet, rather than introducing new such classes.

=== Sign ===
A sign of a formal language ℒ is a symbol whose primary purpose is to structure ℒ.

In building a formal language, signs form the hooks allowing the formal grammar to define the well-formed formulae of the formal language.


Common examples of signs are parentheses, ""("" and "")"", and the comma, "","".

The logical connectives are also signs.


Signs form part of the alphabet of ℒ.

Unlike the letters, they must be the same for each signature for ℒ.

=== Primitive Symbol ===
Let 𝒜 be the alphabet of a formal language ℒ.

The symbols which comprise 𝒜 are called the primitive symbols of 𝒜.


It is usual, during the development of a formal system, to introduce further symbols in order to abbreviate what would otherwise be unwieldy constructions.

Hence the distinction between these newly-introduced symbols and the primitive symbols."
Definition:Alphabet of Natural Language,Alphabet,"The alphabet of a natural language ℒ is the set of symbols, called letters, which are used to represent the sounds of ℒ.


=== English ===
The English alphabet consists of the following letters:

:
:"
Definition:Disjunction/Disjunct,Alternative,"Let p  q be a compound statement whose main connective is the disjunction:
:p  q  if and only if  p is true or q is true or both are true.


The substatements p and q are known as the disjuncts."
Definition:Alternative Operation,Alternative,"Let ∘ be a binary operation.


Then ∘ is defined as being alternative on S  if and only if :

:∀ T := { x, y }⊆ S: ∀ x, y, z ∈ T: ( x ∘ y ) ∘ z = x ∘( y ∘ z )

That is, ∘ is associative over any two elements of S.


For example, for any x, y ∈ S:
:( x ∘ y ) ∘ x = x ∘( y ∘ x )
:( x ∘ x ) ∘ y = x ∘( x ∘ y )
and so on."
Definition:Altitude of Polygon,Altitude,An altitude of a polygon is the longest perpendicular from the base to a vertex most distant from the base.
Definition:Altitude of Triangle,Altitude,"Let ABC be a triangle.

Let a perpendicular be dropped from ∠ A to its opposite side a or its production:

:

The line h_a so constructed is called the altitude of ∠ A.


=== Foot of Altitude ===
Let ABC be a triangle.

Let h_a be the altitude of A:

:


The point at which h_a meets BC (or its production) is the foot of the altitude h_a.


Category:Definitions/Triangles"
Definition:Parallelogram/Altitude,Altitude,":

An altitude of a parallelogram is a line drawn perpendicular to its base, through one of its vertices to the side opposite to the base (which is extended if necessary).

In the parallelogram above, line DE is an altitude of the parallelogram ABCD.


The term is also used for the length of such a line."
Definition:Altitude of Polyhedron,Altitude,An altitude of a polyhedron is the longest perpendicular from the base to a vertex most distant from the base.
Definition:Cone (Geometry)/Altitude,Altitude,":

Let a perpendicular AE be dropped from the apex of a cone to the plane containing its base.

The line segment AE is an altitude of the cone."
Definition:Altitude of Cylinder,Altitude,":

An altitude of a cylinder is a line segment drawn perpendicular to the base and its opposite plane.


In the above diagram, HJ is an altitude of the cylinder ACBDFE."
Definition:Periodic Real Function/Amplitude,Amplitude,"Let f: ℝ→ℝ be a periodic real function.


The amplitude of f is the maximum absolute difference of the value of f from a reference level."
Definition:Incomplete Elliptic Integral of the First Kind/Amplitude,Amplitude,"Let u = F (   )k, ϕ denote the incomplete elliptic integral of the first kind.

The parameter ϕ of u = F (   )k, ϕ is called the amplitude of u.


=== Symbol ===
"
Definition:Simple Harmonic Motion/Amplitude,Amplitude,"Consider a physical system S in a state of simple harmonic motion:
:x = A sin(   )ω t + ϕ


The parameter A is known as the amplitude of the motion."
Definition:Annulus (Geometry),Annulus,"An annulus is a plane figure whose boundary consists of 2 concentric circles:

:

In the above diagram, the annulus is the colored area.


=== Center of Annulus ===
:

The center of an annulus is the common center of the 2 concentric circles that form its boundary.

In the above diagram, the center is the point O.


Category:Definitions/Annuli

=== Inner Radius of Annulus ===
:

The inner radius of an annulus is the radius of the smaller of the 2 concentric circles that form its boundary.

In the above diagram, the inner radius is denoted r.

=== Outer Radius of Annulus ===
:

The outer radius of an annulus is the radius of the larger of the 2 concentric circles that form its boundary.

In the above diagram, the outer radius is denoted R.

=== Width of Annulus ===
:

The width of an annulus is the difference between its outer radius and the inner radius

In the above diagram, the width of the annulus is R - r."
Definition:Annulus (Topology),Annulus,"An annulus in the context of topology is a topological space which is homeomorphic with an annulus in the context of geometry.

:"
Definition:Ring (Abstract Algebra),Annulus,"A ring ( R, *, ∘) is a semiring in which ( R, * ) forms an abelian group.


That is, in addition to ( R, * ) being closed, associative and commutative under *, it also has an identity, and each element has an inverse.


=== Ring Axioms ===
 

Note that a ring is still a semiring (in fact, an additive semiring), so all properties of these structures also apply to a ring.


=== Addition ===
The distributand * of a ring ( R, *, ∘) is referred to as ring addition.


The conventional symbol for this operation is +, and thus a general ring is usually denoted ( R, +, ∘).


=== Additive Group ===
Let ( R, +, ∘) be a ring.


The group ( R, + ) is known as the additive group of R.

=== Additive Inverse ===
Let ( R, +, ∘) be a ring whose ring addition operation is +.

Let a ∈ R be any arbitrary element of R.


The additive inverse of a is its inverse under ring addition, denoted -a:

:a + ( -a ) = 0_R

where 0_R is the zero of R.


=== Additive Inverse of Number ===

The concept is often encountered in the context of numbers:
Let F be one of the standard number systems: ℕ, ℤ, ℚ, ℝ, ℂ.

Let a ∈ F be any arbitrary number.


The additive inverse of a is its inverse under addition, denoted -a:

:a + ( -a ) = 0

=== Product ===
Let ( R, *, ∘) be a ring.


The distributive operation ∘ in ( R, *, ∘) is known as the ring product.

=== Binding Priority ===
Let ( R, +, ∘) be a ring.


In order to simplify expressions involving both + and ∘, it is the convention that ring product has a higher precedence than ring addition:

:a ∘ b + c := ( a ∘ b ) + c


Category:Definitions/Ring Theory

=== Ring Less Zero ===
Let ( R, *, ∘) be a ring whose zero is 0.

It is convenient to have a symbol for R ∖{ 0 }, that is, the set of all elements of the ring without the zero.

Thus we usually use:
:R_ 0 = R ∖{ 0 }"
Definition:Archimedean Polyhedron,Archimedean,"An Archimedean polyhedron is a convex polyhedron with the following properties:
:(1): Each of its faces is a regular polygon
:(2): It is isogonal
:(3): The faces are not all congruent.
:(4): It is not a uniform prism or a uniform antiprism."
Definition:Archimedean Spiral,Archimedean,"The Archimedean spiral is the locus of the equation expressed in polar coordinates as:
:r = a θ


:


=== Archimedes' Definition ===
 ' definition of his Archimedean spiral is as follows:

:If a straight line of which one extremity remains fixed be made to revolve at a uniform rate in a plane until it returns to the position from which it started, and if, at the same time as the straight line revolves, a point moves at a uniform rate along the straight line, starting from the fixed extremity, the point will describe a spiral in the plane."
Definition:Non-Archimedean,Archimedean,"=== Non-Archimedean Norm (Vector Space) ===
Let ( R, +, ∘) be a division ring with norm ‖ · ‖_R.

Let X be a vector space over R, with zero 0_X.


=== Definition 1 ===
Let X be a vector space.

A norm ‖ · ‖ on X is non-Archimedean  if and only if  ‖ · ‖ satisfies the axiom:
 
 
 

=== Definition 2 ===
Let ( R, +, ∘) be a division ring with norm ‖ · ‖_R.

Let X be a vector space over R, with zero 0_X.


A non-Archimedean norm on X is a mapping from X to the non-negative reals:
:‖ · ‖: X →ℝ_≥ 0
satisfying the non-Archimedean norm axioms:
 

The pair ( X, ‖ · ‖) is a non-Archimedean normed vector space.


=== Archimedean ===
A norm ‖ · ‖ on a vector space X is Archimedean  if and only if  it is not non-Archimedean.


That is,  if and only if :
:∃ x, y ∈ X: ‖ x + y ‖ > max{‖ x ‖, ‖ y ‖}

Category:Definitions/Norm Theory

=== Non-Archimedean Norm (Division Ring) ===
Let ( R, +, ∘) be a division ring whose zero is denoted 0_R.


=== Definition 1 ===
Let ( R, +, ∘) be a division ring whose zero is denoted 0_R.


A norm ‖ · ‖ on R is non-Archimedean  if and only if  ‖ · ‖ satisfies the axiom:
 
 
 

=== Definition 2 ===
Let ( R, +, ∘) be a division ring whose zero is denoted 0_R.


A non-Archimedean norm on R is a mapping from R to the non-negative reals:
:‖ · ‖: R →ℝ_≥ 0
satisfying the non-Archimedean norm axioms:
 


The pair ( R, ‖ · ‖) is a non-Archimedean Normed Division Ring.


If R is also a commutative ring, that is, ( R, ‖ · ‖) is a valued field, then ( R, ‖ · ‖) is a non-Archimedean Valued Field.


=== Archimedean ===
Let ‖ · ‖ be a norm on a division ring R satisfying the norm axioms:
: 


A norm ‖ · ‖ is said to be Archimedean  if and only if  it does not satisfy the  .


That is, ‖ · ‖ is Archimedean  if and only if :
 
 
 

=== Non-Archimedean Metric ===
A metric d on a metric space X is non-Archimedean  if and only if :
:d (   )x, y≤max{ d (   )x, z, d (   )y, z}
for all x, y, z ∈ X.


=== Archimedean ===
A metric is Archimedean  if and only if  it is not non-Archimedean.


That is,  if and only if :
:∃ x, y, z, ∈ X: d (   )x, y > max{ d (   )x, z, d (   )y, z}

Category:Definitions/Norm Theory

Category:Definitions/Norm Theory"
Definition:Archimedean Property,Archimedean,"Let ( S, ∘) be a closed algebraic structure on which there exists either an ordering or a norm.


Let ·: ℤ_>0× S → S be the operation defined as:
:m · a = 
a     : m = 1 

a ∘( ( m - 1 ) · a )     : m > 1


=== Archimedean Property on Norm ===
Let ( S, ∘) be a closed algebraic structure.

Let ·: ℤ_>0× S → S be the operation defined as:
:m · a = 
a     : m = 1 

a ∘( ( m - 1 ) · a )     : m > 1


Let n: S →ℝ be a norm on S.
 
 

Then n satisfies the Archimedean property on S  if and only if :
:∀ a, b ∈ S: n ( a ) < n ( b ) ∃ m ∈ℕ: n ( m · a ) > n ( b )


Using the more common symbology for a norm:
:∀ a, b ∈ S: ‖ a ‖ < ‖ b ‖∃ m ∈ℤ_>0: ‖ m · a ‖ > ‖ b ‖


Category:Definitions/Abstract Algebra
Category:Definitions/Norm Theory

=== Archimedean Property on Ordering ===
Let ( S, ∘) be a closed algebraic structure.

Let ·: ℤ_>0× S → S be the operation defined as:
:m · a = 
a     : m = 1 

a ∘( ( m - 1 ) · a )     : m > 1


Let ≼ be an ordering on S.


Then ≼ satisfies the Archimedean property on S  if and only if :

:∀ a, b ∈ S: a ≺ b ∃ m ∈ℤ_>0: b ≺ m · a


Category:Definitions/Abstract Algebra
Category:Definitions/Order Theory"
Definition:Argument of Complex Number,Argument,"Let z = x + i y be a complex number.

An argument of z, or z, is formally defined as a solution to the pair of equations:
:(1):    x | z | = cos(   ) z
:(2):    y | z | = sin(   ) z
where | z | is the modulus of z.

From Sine and Cosine are Periodic on Reals, it follows that if θ is an argument of z, then so is θ + 2 k π where k ∈ℤ is any integer.


Thus, the argument of a complex number z is a continuous multifunction.

 


=== Principal Range ===
It is understood that the argument of a complex number z is unique only up to multiples of 2 k π.

With this understanding, we can limit the choice of what θ can be for any given z by requiring that θ lie in some half open interval of length 2 π.

The most usual of these are:
:[ 0  . . )2 π
:( -π . . ]π

but in theory any such interval may be used.

This interval is known as the principal range.

=== Principal Argument ===
Let R be the principal range of the complex numbers ℂ.

The unique value of θ in R is known as the principal argument, of z.

This is denoted Arg( z ).

Note the capital A.

The standard practice is for R to be ( -π . . ]π.

This ensures that the principal argument is continuous on the real axis for positive numbers.

Thus, if z is represented in the complex plane, the principal argument Arg( z ) is intuitively defined as the angle which z yields with the real (y = 0) axis.


 "
Definition:Logical Argument,Argument,"A logical argument (or just argument) is a process of creating a new statement from one or more existing statements.

An argument proceeds from a set of premises to a conclusion, by means of logical implication, via a procedure called logical inference.


An argument may have more than one premise, but only one conclusion.


While statements may be classified as either true or false, an argument may be classified as either valid or invalid.


Loosely speaking, a valid argument is one that leads unshakeably from true statements to other true statements, whereas an invalid argument is one that can lead you to, for example, a false statement from one which is true.


Thus:
:An argument may be valid, even though its premises are false.
:An argument may be invalid, even though its premises are true.
:An argument may be invalid and its premises false.

It is even possible for the conclusion of an argument to be true, even though the argument is invalid and its premises are false.


To be sure of the truth of a conclusion, it is necessary to make sure both that the premises are true and that the argument is valid.


However, while you may not actually know whether a statement is true or not, you can investigate the consequences of it being either true or false, and see what effect that has on the truth value of the proposition(s) of which it is a part. That, in short, is what the process of logical argument consists of.


An argument may be described symbolically by means of sequents, which specify the flow of an argument.


=== Finitary Argument ===
A finitary argument is a logical argument which starts with a finite number of axioms, and can be translated into a finite number of statements."
Definition:Preimage/Mapping/Element,Argument,"Let f: S → T be a mapping.

Let f^-1⊆ T × S be the inverse of f, defined as:

:f^-1 = {( t, s ): f (   )s = t }


Every s ∈ S such that f (   )s = t is called a preimage of t.


The preimage of an element t ∈ T is defined as:

:f^-1(   )t := { s ∈ S: f (   )s = t }


This can also be expressed as:
:f^-1(   )t := { s ∈Img( f^-1): ( t, s ) ∈ f^-1}


That is, the preimage of t under f is the image of t under f^-1."
Definition:Independent Variable,Argument,"=== Real Function ===
Let f: ℝ→ℝ be a real function.

Let f (   )x = y.

Then x is referred to as an independent variable.

=== Complex Function ===
Let f: ℂ→ℂ be a complex function.

Let f (   )z = w.


Then z is referred to as an independent variable (of f)."
Definition:Polar Coordinates/Angular Coordinate,Argument,"Let P be a point in a system of polar coordinates where O is the pole.


The angle measured anticlockwise from the polar axis to OP is called the angular coordinate of P, and usually labelled θ.

If the angle is measured clockwise from the polar axis to OP, its value is considered negative."
