title,term,definition
Definition:Adjacent (Graph Theory)/Faces,Adjacent Faces,":

Let G = ( V, E ) be a planar graph.

Two faces of G are adjacent  if and only if  they are both incident to the same edge (or edges).

In the above diagram, BCEF and ABF are adjacent, but BCEF and AFG are not adjacent.


Note that faces which are both incident to the same vertex are not considered adjacent unless they are also both incident to the same edge."
Definition:Polyhedron/Adjacent/Faces,Adjacent Faces,Two faces of a polyhedron that meet at the same vertex are adjacent to each other.
Definition:Adjoint Linear Transformation,Adjoint," 


Let ℋ and 𝒦 be Hilbert spaces.

Let ℬ(   )ℋ, 𝒦 be the set of bounded linear transformations from ℋ to 𝒦.

Let A ∈ℬ(   )ℋ, 𝒦 be a bounded linear transformation.


By Existence and Uniqueness of Adjoint, there exists a unique bounded linear transformation A^* ∈ℬ(   )𝒦, ℋ such that:

:∀ h ∈ℋ, k ∈𝒦: ⟨ A (   )h,   ⟩ k_𝒦 = ⟨ h,   ⟩A^* (   )k_ℋ

where ⟨·,   ⟩·_ℋ and ⟨·,   ⟩·_𝒦 are inner products on ℋ and 𝒦 respectively.


A^* is called the adjoint of A.


The operation of assigning A^* to A may be referred to as adjoining."
Definition:Galois Connection/Upper Adjoint,Adjoint,"Let ( S, ≼) and ( T, ≾) be ordered sets.

Let g: S → T, d: T → S be mappings.

Let ( g, d ) be a Galois connection.


Then:

:g is called the upper adjoint of the Galois connection."
Definition:Galois Connection/Lower Adjoint,Adjoint,"Let ( S, ≼) and ( T, ≾) be ordered sets.

Let g: S → T, d: T → S be mappings.

Let ( g, d ) be a Galois connection.


Then:

:d is called the lower adjoint of the Galois connection."
Definition:Adjoint Functor,Adjoint," 
 "
Definition:Left Adjoint Functor,Adjoint,"Let 𝐂, 𝐃 be locally small categories.

Let F : 𝐃→𝐂 and G : 𝐂→𝐃 be functors.

F is a left adjoint functor of G  if and only if  there exists an adjunction ( F, G, α)."
Definition:Right Adjoint Functor,Adjoint,"Let 𝐂, 𝐃 be locally small categories.

Let F : 𝐃→𝐂 and G : 𝐂→𝐃 be functors.

G is a right adjoint functor of F  if and only if  there exists an adjunction ( F, G, α)."
Definition:Adjoint Equation,Adjoint,"Let 𝒮 be a system of n linear first order ODEs:
:𝐲' = 𝐀𝐲

The adjoint equation of 𝒮 is:
:𝐱' = adj( 𝐀) 𝐱

where adj( 𝐀) is the adjugate matrix of 𝐀."
Definition:Affine Geometry,Affine,"Affine geometry is the study of the geometry of affine spaces.

Hence it is the study of properties and types of geometric figures which are invariant under an affine transformation.

It provides a modern axiomatic approach to the study of configurations of lines, planes and hypersurfaces.

In particular an affine space can be thought of as a finite dimensional vector space with no distinguished origin, and its affine transformations are those that preserve collinearity.

It can be considered as projective geometry which preserves the line at infinity."
Definition:Affine Algebraic Set,Affine,"Let K be a field.

Let A = K [ X_1, …, X_n ] be the ring of polynomial functions in n variables over K.


Then a subset X ⊆ K^n is an affine algebraic set  if and only if  it is the zero locus of some set T ⊆ A."
Definition:Affine Algebraic Variety,Affine," 


Let k be a field.

Let n ≥ 1 be an Integer.


=== Definition 1 ===
Let k be a field.

Let n ≥ 1 be an Integer.


A subset X ⊆ k^n is an affine algebraic variety if the following hold:

:(1):    X is an affine algebraic set 

:(2):    X is irreducible   the Zariski topology.

=== Definition 2 ===
Let k be a field.

Let n ≥ 1 be an Integer.


An affine algebraic variety in k^n is a subset defined by polynomial equations in x_1, x_2, …, x_n."
Definition:Affine Scheme,Affine,An affine scheme is a ringed space which is isomorphic to the spectrum of a commutative ring with unity.
Definition:Affine Frame,Affine,"Let ℰ be an affine space with difference space V.

=== Definition 1 ===
Let ℰ be an affine space with difference space V.


An affine frame in ℰ is an ordered tuple ( p_0, e_1, …, e_n ), where:
:p_0 is an element of ℰ called the origin
:( e_1, …, e_n ) is an ordered basis for V.

=== Definition 2 ===
Let ℰ be an affine space with difference space V.


An affine frame may be given by the set of n + 1 points:
:( q_0, …, q_n ) = ( p_0, p_0 + e_1, …, p_0 + e_n )

The frame ( p_0, e_1, …, e_n ) is then recovered by:
:( q_0, q_1 - q_0, …, q_n - q_0 )

Category:Definitions/Affine Geometry"
Definition:Affine Hull,Affine,"Let S be a set.

=== Definition 1 ===
Let S be a set.

The affine hull of S is the smallest affine set containing S.

=== Definition 2 ===
Let S be a set.

The affine hull of S is the intersection of all affine sets of which S is a subset."
Definition:Parenthesis,Aggregation,"Parenthesis is a syntactical technique to disambiguate the meaning of a logical formula.

It allows one to specify that a logical formula should (temporarily) be regarded as being a single entity, being on the same level as a statement variable.

Such a formula is referred to as being in parenthesis.

Typically, a formal language, in defining its formal grammar, ensures by means of parenthesis that all of its well-formed words are uniquely readable.


Generally, brackets are used to indicate that certain formulas are in parenthesis.

The brackets that are mostly used are round ones, the left (round) bracket ( and the right (round) bracket )."
Definition:Set,Aggregation,"A set is intuitively defined as any aggregation of objects, called elements, which can be precisely defined in some way or other.

We can think of each set as a single entity in itself, and we can denote it (and usually do) by means of a single symbol.


That is, anything you care to think of can be a set. This concept is known as the  .


However, there are problems with the  . If we allow it to be used without any restrictions at all, paradoxes arise, the most famous example probably being Russell's Paradox.


Hence some sources define a set as a  'well-defined' collection of objects, leaving the concept of what constitutes well-definition to later in the exposition."
Definition:Aggregation (Physics),Aggregation,"An aggregation, in the context of physics, is a set of bodies (but usually particles) all of which are under the same or similar conditions, and which are assumed to behave (in certain aspects) as one body.

The concept is deliberately left vague."
Definition:Algebra (Mathematical Branch),Algebra,Algebra is the branch of mathematics which studies the techniques of manipulation of objects and expressions.
Definition:Abstract Algebra,Algebra,"Abstract algebra is a branch of mathematics which studies algebraic structures and algebraic systems.

It can be roughly described as the study of sets equipped with operations."
Definition:Algebraic Structure,Algebra,"An algebraic structure with n operations is an ordered tuple:
:( S, ∘_1, ∘_2, …, ∘_n )
where:
:S is a set
:∘_1, ∘_2, …, ∘_n are n binary operations which are defined on all the elements of S × S.


=== One Operation ===
An algebraic structure with 1 operation is an ordered pair:
:( S, ∘)
where:
:S is a set
:∘ is a binary operation defined on all the elements of S × S.

=== Two Operations ===
An algebraic structure with 2 operations is an ordered triple:
:( S, ∘, * )
where:
:S is a set
:∘ and * are binary operations defined on all the elements of S × S."
Definition:Linear Algebra (Mathematical Branch),Algebra,Linear algebra is the branch of algebra which studies vector spaces and linear transformations between them.
Definition:Vector Algebra,Algebra,Vector Algebra is the branch of mathematics which studies the algebra of vector spaces.
Definition:Algebra Loop,Algebra,"An algebra loop ( S, ∘) is a quasigroup with an identity element.
:∃ e ∈ S: ∀ x ∈ S: x ∘ e = x = e ∘ x"
Definition:Algebraic Topology,Algebraic,Algebraic topology is a branch of topology which uses tools from abstract algebra to study topological spaces.
Definition:Algebraic Geometry,Algebraic,"Algebraic geometry is the branch of geometry which studies objects in multi-dimensional space using the techniques of abstract algebra.

In particular, techniques from commutative algebra are mainly used.

It also encompasses the study of algebraic varieties."
Definition:Algebraic Variety,Algebraic,"An algebraic variety is the solution set of a system of simultaneous polynomial equations:

 
 
 
 
 
 "
Definition:Algebraically Independent,Algebraic,"Let L / K be a field extension.

Let A ⊆ L be a subset of L.

Let K (   ){ X_α: α∈ A } be the field of rational functions in the indeterminates ⟨ X_α⟩_α∈ A.


Then A is algebraically independent over K  if and only if  there exists a homomorphism:
:ϕ: K (   ){ X_α: α∈ A }→ L
such that, for all α∈ A:
:ϕ(   )X_α = α"
Definition:Algebraic Number Theory,Algebraic,"Algebraic number theory is the branch of abstract algebra which studies structures in which the usual number fields are embedded.

As such it can also be considered to be a branch of number theory."
Definition:Algebraic Integer,Algebraic,"Let K / ℚ be an algebraic number field.

 


Then α∈ K is an algebraic integer  if and only if  it satisfies a monic polynomial f ∈ℤ[ X ].

The set of all algebraic integers in K is denoted 𝒪_K.


By Ring of Algebraic Integers it is a ring, hence usually referred to as the ring of algebraic integers of K.


=== Quadratic Integer ===
Let K / ℚ be an algebraic number field.

Let K / ℚ have degree two.


Then an algebraic integer in K is a quadratic integer."
Definition:Formal Language/Alphabet,Alphabet,"Let ℒ be a formal language.


The alphabet 𝒜 of ℒ is a set of symbols from which collations in ℒ may be constructed.

An alphabet consists of the following parts:

:The letters
:The signs.


Depending on the specific nature of any particular formal language, these too may be subcategorized.


=== Letter ===
A letter of a formal language is a more or less arbitrary symbol whose interpretation depends on the specific context.

In building a formal language, letters are considered to be the undefined terms of said language.


An important part of assigning semantics to a formal language is to provide an interpretation for its letters.


=== Vocabulary ===
The vocabulary of a formal language is the collection of all of its letters.

As such, it forms part of the alphabet of this language.


Each signature for the language may have a different vocabulary.

However, different signatures only have different members of the respective classes of symbols comprising the alphabet, rather than introducing new such classes.

=== Sign ===
A sign of a formal language ℒ is a symbol whose primary purpose is to structure ℒ.

In building a formal language, signs form the hooks allowing the formal grammar to define the well-formed formulae of the formal language.


Common examples of signs are parentheses, ""("" and "")"", and the comma, "","".

The logical connectives are also signs.


Signs form part of the alphabet of ℒ.

Unlike the letters, they must be the same for each signature for ℒ.

=== Primitive Symbol ===
Let 𝒜 be the alphabet of a formal language ℒ.

The symbols which comprise 𝒜 are called the primitive symbols of 𝒜.


It is usual, during the development of a formal system, to introduce further symbols in order to abbreviate what would otherwise be unwieldy constructions.

Hence the distinction between these newly-introduced symbols and the primitive symbols."
Definition:Alphabet of Natural Language,Alphabet,"The alphabet of a natural language ℒ is the set of symbols, called letters, which are used to represent the sounds of ℒ.


=== English ===
The English alphabet consists of the following letters:

:
:"
Definition:Disjunction/Disjunct,Alternant,"Let p  q be a compound statement whose main connective is the disjunction:
:p  q  if and only if  p is true or q is true or both are true.


The substatements p and q are known as the disjuncts."
Definition:Alternant (Linear Algebra),Alternant,"An alternant is a determinant of order n such that the element in the ith row and jth column is defined as:
:f_i (   )r_j
where:
:the f_i are n mappings
:the r_j are n elements."
Definition:Altitude of Polygon,Altitude,An altitude of a polygon is the longest perpendicular from the base to a vertex most distant from the base.
Definition:Altitude of Triangle,Altitude,"Let ABC be a triangle.

Let a perpendicular be dropped from ∠ A to its opposite side a or its production:

:

The line h_a so constructed is called the altitude of ∠ A.


=== Foot of Altitude ===
Let ABC be a triangle.

Let h_a be the altitude of A:

:


The point at which h_a meets BC (or its production) is the foot of the altitude h_a.


Category:Definitions/Triangles"
Definition:Parallelogram/Altitude,Altitude,":

An altitude of a parallelogram is a line drawn perpendicular to its base, through one of its vertices to the side opposite to the base (which is extended if necessary).

In the parallelogram above, line DE is an altitude of the parallelogram ABCD.


The term is also used for the length of such a line."
Definition:Altitude of Polyhedron,Altitude,An altitude of a polyhedron is the longest perpendicular from the base to a vertex most distant from the base.
Definition:Cone (Geometry)/Altitude,Altitude,":

Let a perpendicular AE be dropped from the apex of a cone to the plane containing its base.

The line segment AE is an altitude of the cone."
Definition:Altitude of Cylinder,Altitude,":

An altitude of a cylinder is a line segment drawn perpendicular to the base and its opposite plane.


In the above diagram, HJ is an altitude of the cylinder ACBDFE."
Definition:Periodic Real Function/Amplitude,Amplitude,"Let f: ℝ→ℝ be a periodic real function.


The amplitude of f is the maximum absolute difference of the value of f from a reference level."
Definition:Incomplete Elliptic Integral of the First Kind/Amplitude,Amplitude,"Let u = F (   )k, ϕ denote the incomplete elliptic integral of the first kind.

The parameter ϕ of u = F (   )k, ϕ is called the amplitude of u.


=== Symbol ===
"
Definition:Simple Harmonic Motion/Amplitude,Amplitude,"Consider a physical system S in a state of simple harmonic motion:
:x = A sin(   )ω t + ϕ


The parameter A is known as the amplitude of the motion."
Definition:Annulus (Geometry),Annulus,"An annulus is a plane figure whose boundary consists of 2 concentric circles:

:

In the above diagram, the annulus is the colored area.


=== Center of Annulus ===
:

The center of an annulus is the common center of the 2 concentric circles that form its boundary.

In the above diagram, the center is the point O.


Category:Definitions/Annuli

=== Inner Radius of Annulus ===
:

The inner radius of an annulus is the radius of the smaller of the 2 concentric circles that form its boundary.

In the above diagram, the inner radius is denoted r.

=== Outer Radius of Annulus ===
:

The outer radius of an annulus is the radius of the larger of the 2 concentric circles that form its boundary.

In the above diagram, the outer radius is denoted R.

=== Width of Annulus ===
:

The width of an annulus is the difference between its outer radius and the inner radius

In the above diagram, the width of the annulus is R - r."
Definition:Annulus (Topology),Annulus,"An annulus in the context of topology is a topological space which is homeomorphic with an annulus in the context of geometry.

:"
Definition:Ring (Abstract Algebra),Annulus,"A ring ( R, *, ∘) is a semiring in which ( R, * ) forms an abelian group.


That is, in addition to ( R, * ) being closed, associative and commutative under *, it also has an identity, and each element has an inverse.


=== Ring Axioms ===
 

Note that a ring is still a semiring (in fact, an additive semiring), so all properties of these structures also apply to a ring.


=== Addition ===
The distributand * of a ring ( R, *, ∘) is referred to as ring addition.


The conventional symbol for this operation is +, and thus a general ring is usually denoted ( R, +, ∘).


=== Additive Group ===
Let ( R, +, ∘) be a ring.


The group ( R, + ) is known as the additive group of R.

=== Additive Inverse ===
Let ( R, +, ∘) be a ring whose ring addition operation is +.

Let a ∈ R be any arbitrary element of R.


The additive inverse of a is its inverse under ring addition, denoted -a:

:a + ( -a ) = 0_R

where 0_R is the zero of R.


=== Additive Inverse of Number ===

The concept is often encountered in the context of numbers:
Let F be one of the standard number systems: ℕ, ℤ, ℚ, ℝ, ℂ.

Let a ∈ F be any arbitrary number.


The additive inverse of a is its inverse under addition, denoted -a:

:a + ( -a ) = 0

=== Product ===
Let ( R, *, ∘) be a ring.


The distributive operation ∘ in ( R, *, ∘) is known as the ring product.

=== Binding Priority ===
Let ( R, +, ∘) be a ring.


In order to simplify expressions involving both + and ∘, it is the convention that ring product has a higher precedence than ring addition:

:a ∘ b + c := ( a ∘ b ) + c


Category:Definitions/Ring Theory

=== Ring Less Zero ===
Let ( R, *, ∘) be a ring whose zero is 0.

It is convenient to have a symbol for R ∖{ 0 }, that is, the set of all elements of the ring without the zero.

Thus we usually use:
:R_ 0 = R ∖{ 0 }"
Definition:Archimedean Polyhedron,Archimedean,"An Archimedean polyhedron is a convex polyhedron with the following properties:
:(1): Each of its faces is a regular polygon
:(2): It is isogonal
:(3): The faces are not all congruent.
:(4): It is not a uniform prism or a uniform antiprism."
Definition:Archimedean Spiral,Archimedean,"The Archimedean spiral is the locus of the equation expressed in polar coordinates as:
:r = a θ


:


=== Archimedes' Definition ===
 ' definition of his Archimedean spiral is as follows:

:If a straight line of which one extremity remains fixed be made to revolve at a uniform rate in a plane until it returns to the position from which it started, and if, at the same time as the straight line revolves, a point moves at a uniform rate along the straight line, starting from the fixed extremity, the point will describe a spiral in the plane."
Definition:Non-Archimedean,Archimedean,"=== Non-Archimedean Norm (Vector Space) ===
Let ( R, +, ∘) be a division ring with norm ‖ · ‖_R.

Let X be a vector space over R, with zero 0_X.


=== Definition 1 ===
Let X be a vector space.

A norm ‖ · ‖ on X is non-Archimedean  if and only if  ‖ · ‖ satisfies the axiom:
 
 
 

=== Definition 2 ===
Let ( R, +, ∘) be a division ring with norm ‖ · ‖_R.

Let X be a vector space over R, with zero 0_X.


A non-Archimedean norm on X is a mapping from X to the non-negative reals:
:‖ · ‖: X →ℝ_≥ 0
satisfying the non-Archimedean norm axioms:
 

The pair ( X, ‖ · ‖) is a non-Archimedean normed vector space.


=== Archimedean ===
A norm ‖ · ‖ on a vector space X is Archimedean  if and only if  it is not non-Archimedean.


That is,  if and only if :
:∃ x, y ∈ X: ‖ x + y ‖ > max{‖ x ‖, ‖ y ‖}

Category:Definitions/Norm Theory

=== Non-Archimedean Norm (Division Ring) ===
Let ( R, +, ∘) be a division ring whose zero is denoted 0_R.


=== Definition 1 ===
Let ( R, +, ∘) be a division ring whose zero is denoted 0_R.


A norm ‖ · ‖ on R is non-Archimedean  if and only if  ‖ · ‖ satisfies the axiom:
 
 
 

=== Definition 2 ===
Let ( R, +, ∘) be a division ring whose zero is denoted 0_R.


A non-Archimedean norm on R is a mapping from R to the non-negative reals:
:‖ · ‖: R →ℝ_≥ 0
satisfying the non-Archimedean norm axioms:
 


The pair ( R, ‖ · ‖) is a non-Archimedean Normed Division Ring.


If R is also a commutative ring, that is, ( R, ‖ · ‖) is a valued field, then ( R, ‖ · ‖) is a non-Archimedean Valued Field.


=== Archimedean ===
Let ‖ · ‖ be a norm on a division ring R satisfying the norm axioms:
: 


A norm ‖ · ‖ is said to be Archimedean  if and only if  it does not satisfy the  .


That is, ‖ · ‖ is Archimedean  if and only if :
 
 
 

=== Non-Archimedean Metric ===
A metric d on a metric space X is non-Archimedean  if and only if :
:d (   )x, y≤max{ d (   )x, z, d (   )y, z}
for all x, y, z ∈ X.


=== Archimedean ===
A metric is Archimedean  if and only if  it is not non-Archimedean.


That is,  if and only if :
:∃ x, y, z, ∈ X: d (   )x, y > max{ d (   )x, z, d (   )y, z}

Category:Definitions/Norm Theory

Category:Definitions/Norm Theory"
Definition:Archimedean Property,Archimedean,"Let ( S, ∘) be a closed algebraic structure on which there exists either an ordering or a norm.


Let ·: ℤ_>0× S → S be the operation defined as:
:m · a = 
a     : m = 1 

a ∘( ( m - 1 ) · a )     : m > 1


=== Archimedean Property on Norm ===
Let ( S, ∘) be a closed algebraic structure.

Let ·: ℤ_>0× S → S be the operation defined as:
:m · a = 
a     : m = 1 

a ∘( ( m - 1 ) · a )     : m > 1


Let n: S →ℝ be a norm on S.
 
 

Then n satisfies the Archimedean property on S  if and only if :
:∀ a, b ∈ S: n ( a ) < n ( b ) ∃ m ∈ℕ: n ( m · a ) > n ( b )


Using the more common symbology for a norm:
:∀ a, b ∈ S: ‖ a ‖ < ‖ b ‖∃ m ∈ℤ_>0: ‖ m · a ‖ > ‖ b ‖


Category:Definitions/Abstract Algebra
Category:Definitions/Norm Theory

=== Archimedean Property on Ordering ===
Let ( S, ∘) be a closed algebraic structure.

Let ·: ℤ_>0× S → S be the operation defined as:
:m · a = 
a     : m = 1 

a ∘( ( m - 1 ) · a )     : m > 1


Let ≼ be an ordering on S.


Then ≼ satisfies the Archimedean property on S  if and only if :

:∀ a, b ∈ S: a ≺ b ∃ m ∈ℤ_>0: b ≺ m · a


Category:Definitions/Abstract Algebra
Category:Definitions/Order Theory"
Definition:Argument of Complex Number,Argument,"Let z = x + i y be a complex number.

An argument of z, or z, is formally defined as a solution to the pair of equations:
:(1):    x | z | = cos(   ) z
:(2):    y | z | = sin(   ) z
where | z | is the modulus of z.

From Sine and Cosine are Periodic on Reals, it follows that if θ is an argument of z, then so is θ + 2 k π where k ∈ℤ is any integer.


Thus, the argument of a complex number z is a continuous multifunction.

 


=== Principal Range ===
It is understood that the argument of a complex number z is unique only up to multiples of 2 k π.

With this understanding, we can limit the choice of what θ can be for any given z by requiring that θ lie in some half open interval of length 2 π.

The most usual of these are:
:[ 0  . . )2 π
:( -π . . ]π

but in theory any such interval may be used.

This interval is known as the principal range.

=== Principal Argument ===
Let R be the principal range of the complex numbers ℂ.

The unique value of θ in R is known as the principal argument, of z.

This is denoted Arg( z ).

Note the capital A.

The standard practice is for R to be ( -π . . ]π.

This ensures that the principal argument is continuous on the real axis for positive numbers.

Thus, if z is represented in the complex plane, the principal argument Arg( z ) is intuitively defined as the angle which z yields with the real (y = 0) axis.


 "
Definition:Logical Argument,Argument,"A logical argument (or just argument) is a process of creating a new statement from one or more existing statements.

An argument proceeds from a set of premises to a conclusion, by means of logical implication, via a procedure called logical inference.


An argument may have more than one premise, but only one conclusion.


While statements may be classified as either true or false, an argument may be classified as either valid or invalid.


Loosely speaking, a valid argument is one that leads unshakeably from true statements to other true statements, whereas an invalid argument is one that can lead you to, for example, a false statement from one which is true.


Thus:
:An argument may be valid, even though its premises are false.
:An argument may be invalid, even though its premises are true.
:An argument may be invalid and its premises false.

It is even possible for the conclusion of an argument to be true, even though the argument is invalid and its premises are false.


To be sure of the truth of a conclusion, it is necessary to make sure both that the premises are true and that the argument is valid.


However, while you may not actually know whether a statement is true or not, you can investigate the consequences of it being either true or false, and see what effect that has on the truth value of the proposition(s) of which it is a part. That, in short, is what the process of logical argument consists of.


An argument may be described symbolically by means of sequents, which specify the flow of an argument.


=== Finitary Argument ===
A finitary argument is a logical argument which starts with a finite number of axioms, and can be translated into a finite number of statements."
