,title,term,definition,pred
20,Definition:Contour/Simple,Simple,"Let ℝ^n be a real cartesian space of n dimensions.

Let C_1, …, C_n be directed smooth curves in ℝ^n.

Let C_i be parameterized by the smooth path ρ_i: [ a_i  . . ]b_i→ℝ^n for all i ∈{ 1, 2, …, n }.

Let C be the contour in ℝ^n defined by the finite sequence C_1, …, C_n.


C is a simple contour  if and only if :

:(1): For all i, j ∈{ 1, …, n }, t_1 ∈[ a_i  . . )b_i, t_2 ∈[ a_j  . . )b_j with t_1  t_2, we have ρ_i (   )t_1ρ_j (   )t_2

:(2): For all k ∈{ 1, …, n }, t ∈[ a_k  . . )b_k where either k  1 or t  a_1, we have ρ_k (   )t ρ_n (   )b_n.


Thus a simple contour is a contour that does not intersect itself.


=== Complex Plane ===

The definition carries over to the complex plane, in which context it is usually applied:

Let C_1, …, C_n be directed smooth curves in the complex plane ℂ.

Let C_k be parameterized by the smooth path γ_k: [ a_k  . . ]b_k→ℂ for all k ∈{ 1, …, n }.

Let C be the contour defined by the finite sequence C_1, …, C_n.


C is a simple contour  if and only if :

:(1): For all j, k ∈{ 1, …, n }, t_1 ∈[ a_j  . . )b_j, t_2 ∈[ a_k  . . )b_k with t_1  t_2, we have γ_j (   )t_1γ_j (   )t_2.

:(2): For all k ∈{ 1, …, n }, t ∈[ a_k  . . )b_k where either k  1 or t  a_1, we have γ_k (   )t γ_n (   )b_n.


Thus a simple contour is a contour that does not intersect itself.",Definition:Simple Function
21,Definition:Simple Graph,Simple,"A simple graph is a graph which is:

:An undirected graph, that is, the edges are defined as doubleton sets of vertices and not ordered pairs

:Not a multigraph, that is, there is no more than one edge between each pair of vertices

:Not a loop-graph, that is, there are no loops, that is, edges which start and end at the same vertex

:Not a weighted graph, that is, the edges are not mapped to a number.


=== Formal Definition ===
Let V be a set.

Let ℛ be an endorelation on V which is antireflexive and symmetric.

Let E be the set whose elements of the form:
:{( v_a, v_b ), ( v_b, v_a )  }.
where ( v_a, v_b ) and ( v_b, v_a ) are elements of ℛ 


A simple graph is an ordered pair G = ( V, E ), where V and E are defined as above.


V is called the vertex set.

E is called the edge set.",Definition:Simple Field Extension
22,Definition:Digraph/Simple Digraph,Simple,"Let D = ( V, E ) be a digraph.

If the relation E in D is also specifically asymmetric, then D is called a simple digraph.

That is, in a simple digraph there are no pairs of arcs (like there are between v_1 and v_4 in the diagram above) which go in both directions between two vertices.",Definition:Continued Fraction/Simple
23,Definition:Multigraph/Simple Edge,Simple,"Let G = ( V, E ) be a multigraph.


A simple edge is an edge u v of G which is the only edge of G which is incident to both u and v.


Category:Definitions/Edges of Graphs
Category:Definitions/Multigraphs",Definition:Continued Fraction/Simple
24,Definition:Simple Function,Simple,"Let ( X, x3a3) be a measurable space.

A real-valued function f: X →ℝ is said to be a simple function  if and only if  it is a finite linear combination of characteristic functions:

:f = ∑_k  = 1^n a_k χ_S_k

where a_1, a_2, …, a_n are real numbers and each of the sets S_k is x3a3-measurable.


=== Positive Simple Function ===

When all of the a_i are positive, f is also said to be positive.

 

=== Banach Space ===
Let 𝔽∈{ℝ, ℂ}. 

Let I be a real interval.

Let X be a Banach space over 𝔽. 

Let f : I → X be a function.


We say that f is simple  if and only if  there exists: 

:Lebesgue measurable subsets Ω_1, …, Ω_r of I with finite Lebesgue measure
:x_1, …, x_r ∈ X 

such that: 

:f (   )t = ∑_r  = 1^n x_r χ_Ω_r(   )t

for each t ∈ I.",Definition:Simple Field Extension
25,Definition:Node (Graph Theory),Node,"=== Vertex ===

For graphs which are not trees, the term vertex is generally used instead:

 

Let G = ( V, E ) be a graph.

The vertices (singular: vertex) are the elements of V.

Informally, the vertices are the points that are connected by the edges.


In the above, the vertices are the points A, B, C, D, E, F, G which are marked as dots.

=== Node ===
The vertices of a tree are called its nodes.",Definition:Acnode
26,Definition:Acnode,Node,An acnode is a singular point of the locus of an equation describing a curve which is not actually on that curve.,Definition:Crunode
27,Definition:Crunode,Node,A crunode is a double point P of the locus of an equation describing a curve which intersects itself in such a way that there are 2 distinct tangents at P.,Definition:Cusp
28,Definition:Cusp,Node,"A cusp is a singular point on a curve at which there are two different tangents which coincide.

Thus a cusp is a special case of a double point in which the tangents are coincident.


=== Cusp of the First Kind ===
A cusp of the first kind is a cusp in which both parts of the curve lie on opposite sides of the coincident tangents defining that cusp.


=== Single Cusp of the First Kind ===
A single cusp of the first kind is a single cusp in which both parts of the curve lie on opposite sides of the coincident tangents defining that single cusp.
:

=== Double Cusp of the First Kind ===
A double cusp of the first kind is a double cusp in which both parts of the curve lie on opposite sides of the coincident tangents defining that double cusp.
:

=== Cusp of the Second Kind ===
A cusp of the second kind is a cusp in which both parts of the curve lie on the same side of the coincident tangents defining that cusp.


=== Single Cusp of the Second Kind ===
A single cusp of the second kind is a single cusp in which both parts of the curve lie on the same side of the coincident tangents defining that single cusp.
:

=== Double Cusp of the Second Kind ===
A double cusp of the second kind is a double cusp in which both parts of the curve lie on the same side of the coincident tangents defining that double cusp.
:",Definition:Node (Graph Theory)
29,Definition:Double Cusp,Node,"A double cusp is a cusp in which 2 or more parts of the curve are both continuous through the point.

That is, the curve is tangential to itself.


=== Double Cusp of the First Kind ===
A double cusp of the first kind is a double cusp in which both parts of the curve lie on opposite sides of the coincident tangents defining that double cusp.
:

=== Double Cusp of the Second Kind ===
A double cusp of the second kind is a double cusp in which both parts of the curve lie on the same side of the coincident tangents defining that double cusp.
:

=== Point of Osculoinflection ===
A point of osculoinflection is a double cusp in which one or both parts of the curve has a point of inflection at the point of contact with the tangents defining that double cusp.
:",Definition:Crunode
30,Definition:Metagraph,Node,"A metagraph 𝒢 consists of:

* objects X, Y, Z, …
* morphisms f, g, h, … between its objects

These are subjected to the following two axioms:

 
 
 
 

 
A metagraph is purely axiomatic, and does not use set theory.

For example, the objects are not ""elements of the set of objects"", because these axioms are (without further interpretation) unfounded in set theory.",Definition:Crunode
31,Definition:Spline Function/Knot,Node,"Let [ a  . . ]b be a closed real interval.

Let T := { a = t_0, t_1, t_2, …, t_n - 1, t_n = b } form a subdivision of [ a  . . ]b.

Let S: [ a  . . ]b →ℝ be a spline function on [ a  . . ]b on T.


The points T := { t_0, t_1, t_2, …, t_n - 1, t_n } of S are known as the knots.


=== Knot Vector ===
Let [ a  . . ]b be a closed real interval.

Let T := { a = t_0, t_1, t_2, …, t_n - 1, t_n = b } form a subdivision of [ a  . . ]b.

Let S: [ a  . . ]b →ℝ be a spline function on [ a  . . ]b on T.


The ordered n + 1-tuple 𝐭 := ( t_0, t_1, t_2, …, t_n - 1, t_n ) of S is known as the knot vector.


Category:Definitions/Knots of Splines",Definition:Crunode
32,Definition:Empty Set,Empty,"The empty set is a set which has no elements.

That is, x ∈∅ is false, whatever x is.


It is usually denoted by some variant of a zero with a line through it, for example ∅ or ∅, and can always be represented as {}.",Definition:Empty Set
33,Definition:Empty Class (Class Theory),Empty,"A class is defined as being empty  if and only if  it has no elements.

That is:
:∀ x: x ∉ A
or:
:∃ x: x ∈ A


The empty class is usually denoted ∅ or ∅.

On   the preferred symbol is ∅.",Definition:Summation/Vacuous Summation
34,Definition:Empty Mapping,Empty,"Let T be a set.


Then the mapping e: ∅→ T whose domain is the empty set and whose codomain is T is called the empty mapping:
:e ⊆∅× T = ∅",Definition:Class Interval/Empty
35,Definition:Null Relation,Empty,"The null relation is a relation ℛ in S to T such that ℛ is the empty set:
:ℛ⊆ S × T: ℛ = ∅


That is, no element of S relates to any element in T:
:ℛ: S × T: ∀( s, t ) ∈ S × T:  s ℛ t",Definition:Empty Class (Class Theory)
36,Definition:Edgeless Graph,Empty,"An edgeless graph is a graph with no edges.

That is, an edgeless graph is a graph of size zero.

Equivalently, an edgeless graph is a graph whose vertices are all isolated.


The edgeless graph of order n is denoted N_n and can be referred to as the n-edgeless graph.",Definition:Null Relation
37,Definition:Summation/Vacuous Summation,Empty,"Take the summation:
:∑_Φ(   )j a_j
where Φ(   )j is a propositional function of j.

Suppose that there are no values of j for which Φ(   )j is true.

Then ∑_Φ(   )j a_j is defined as being 0.

This summation is called a vacuous summation.


This is because:
:∀ a: a + 0 = a
where a is a number.

Hence for all j for which Φ(   )j is false, the sum is unaffected.


This is most frequently seen in the form:
:∑_j  = m^n a_j = 0
where m > n.

In this case, j can not at the same time be both greater than or equal to m and less than or equal to n.


Some sources consider such a treatment as abuse of notation.",Definition:Empty Class (Class Theory)
38,Definition:Class Interval/Empty,Empty,A class interval is empty  if and only if  it is of frequency zero.,Definition:Summation/Vacuous Summation
39,Definition:Zero (Category),Empty,"The category 0, zero, is the empty category:


:


with:
:no objects
and consequently:
:no morphisms.",Definition:Summation/Vacuous Summation
40,Definition:Formal Semantics/Structure,Structure,"Let ℒ be a formal language.

Part of specifying a formal semantics ℳ for ℒ is to specify structures ℳ for ℳ.


A structure can in principle be any object one can think of.

However, to get a useful formal semantics, the structures should support a meaningful definition of validity for the WFFs of ℒ.


It is common that structures are sets, often endowed with a number of relations or functions.


=== Structure for Predicate Logic ===
Let ℒ_1 be the language of predicate logic.


A structure 𝒜 for ℒ_1 comprises:

:(1): A non-empty set A;
:(2): For each function symbol f of arity n, a mapping f_𝒜: A^n → A;
:(3): For each predicate symbol p of arity n, a mapping p_𝒜: A^n → B

where B denotes the set of truth values.

A is called the underlying set of 𝒜.

f_𝒜 and p_𝒜 are called the interpretations of f and p in 𝒜, respectively.


We remark that function symbols of arity 0 are interpreted as constants in A.

To avoid pathological situations with the interpretation of arity-0 function symbols, it is essential that A be non-empty.

Also, the predicate symbols may be interpreted as relations via their characteristic functions.


 ",Definition:Relational Structure
41,Definition:Structure for Predicate Logic,Structure,"Let ℒ_1 be the language of predicate logic.


A structure 𝒜 for ℒ_1 comprises:

:(1): A non-empty set A;
:(2): For each function symbol f of arity n, a mapping f_𝒜: A^n → A;
:(3): For each predicate symbol p of arity n, a mapping p_𝒜: A^n → B

where B denotes the set of truth values.

A is called the underlying set of 𝒜.

f_𝒜 and p_𝒜 are called the interpretations of f and p in 𝒜, respectively.


We remark that function symbols of arity 0 are interpreted as constants in A.

To avoid pathological situations with the interpretation of arity-0 function symbols, it is essential that A be non-empty.

Also, the predicate symbols may be interpreted as relations via their characteristic functions.


 ",Definition:Formal Semantics/Structure
42,Definition:Relational Structure,Structure,"A relational structure is an ordered pair ( S, ℛ), where:
:S is a set
:ℛ is an endorelation on S.",Definition:Formal Semantics/Structure
43,Definition:Algebraic Structure,Structure,"An algebraic structure with n operations is an ordered tuple:
:( S, ∘_1, ∘_2, …, ∘_n )
where:
:S is a set
:∘_1, ∘_2, …, ∘_n are n binary operations which are defined on all the elements of S × S.


=== One Operation ===
An algebraic structure with 1 operation is an ordered pair:
:( S, ∘)
where:
:S is a set
:∘ is a binary operation defined on all the elements of S × S.

=== Two Operations ===
An algebraic structure with 2 operations is an ordered triple:
:( S, ∘, * )
where:
:S is a set
:∘ and * are binary operations defined on all the elements of S × S.",Definition:Formal Semantics/Structure
44,Definition:Inverse Statement,Inverse,"The inverse of the conditional:
: p  q
is the statement:
:p  q",Definition:Inverse (Abstract Algebra)/Inverse
45,Definition:Inverse (Abstract Algebra)/Inverse,Inverse,"Let ( S, ∘) be an algebraic structure with an identity element e_S.

Let x, y ∈ S be elements.


The element y is an inverse of x  if and only if :
:y ∘ x = e_S = x ∘ y
that is,  if and only if  y is both:
:a left inverse of x
and:
:a right inverse of x.",Definition:Inverse Relation
46,Definition:Product Inverse,Inverse,"Let ( R, +, ∘) be a ring with unity.

Let U_R denotes the group of units of R.

The inverse of x ∈ U_R by ∘ is called the (ring) product inverse of x.


The usual means of denoting the product inverse of an element x is by x^-1.

Thus it is distinguished from the additive inverse of x, that is, the (ring) negative of x, which is usually denoted -x.",Definition:Inverse in Inverse Semigroup
47,Definition:Inverse Semigroup,Inverse,"An inverse semigroup is a semigroup ( S, ∘) such that:

:∀ a ∈ S: ∃! b ∈ S: a = a ∘ b ∘ a, b = b ∘ a ∘ b


=== Inverse ===
Let (S, ∘) be an inverse semigroup.

Let a∈ S.


The inverse of a is the unique element b∈ S such that:
:a = a ∘ b ∘ a and b = b ∘ a ∘ b


Category:Definitions/Inverse Semigroups",Definition:Inverse Relation
48,Definition:Inverse in Inverse Semigroup,Inverse,"Let (S, ∘) be an inverse semigroup.

Let a∈ S.


The inverse of a is the unique element b∈ S such that:
:a = a ∘ b ∘ a and b = b ∘ a ∘ b


Category:Definitions/Inverse Semigroups",Definition:Inverse (Abstract Algebra)/Inverse
49,Definition:Inverse Linear Transformation,Inverse,"Let V and U be vector spaces.

Let A : V → U be an invertible (in the sense of a mapping) linear transformation with inverse mapping A^-1 : U → V.


We say that A^-1 is the inverse linear transformation of A.",Definition:Inverse Relation
50,Definition:Inverse Linear Operator,Inverse,"Let X be a vector space.

Let A : X → X be an invertible (in the sense of a mapping) linear transformation with inverse mapping A^-1 : X → X.


We say that A^-1 is the inverse linear operator of A.",Definition:Inverse (Abstract Algebra)/Inverse
51,Definition:Inverse Relation,Inverse,"Let ℛ⊆ S × T be a relation.


The inverse relation to (or of) ℛ is defined as:

:ℛ^-1 := {( t, s ): ( s, t ) ∈ℛ}


That is, ℛ^-1⊆ T × S is the relation which satisfies:

:∀ s ∈ S: ∀ t ∈ T: ( t, s ) ∈ℛ^-1( s, t ) ∈ℛ


=== Class Theoretical Definition ===
 
Let V be a basic universe.

Let A and B be subclasses of V.

Let ℛ⊆ A × B be a relation on A × B.


The inverse relation to (or of) ℛ is defined as the class of all ordered pairs ( b, a ) such that ( a, b ) ∈ℛ:

:ℛ^-1 := {( b, a ): ( a, b ) ∈ℛ}",Definition:Inverse Linear Operator
52,Definition:Inverse Mapping,Inverse,"=== Definition 1 ===
Let f: S → T be a mapping.

Let f^-1⊆ T × S be the inverse of f:
:f^-1 := {( t, s ): f (   )s = t }


Let f^-1 itself be a mapping:
:∀ y ∈ T: ( y, x_1 ) ∈ f^-1( y, x_2 ) ∈ f^-1 x_1 = x_2
and
:∀ y ∈ T: ∃ x ∈ S: ( y, x ) ∈ f


Then f^-1 is called the inverse mapping of f.

=== Definition 2 ===
Let f: S → T and g: T → S be mappings.

Let:
:g ∘ f = I_S
:f ∘ g = I_T
where:
:g ∘ f and f ∘ g denotes the composition of f with g in either order
:I_S and I_T denote the identity mappings on S and T respectively.

That is, f and g are both left inverse mappings and right inverse mappings of each other.


Then:
:g is the inverse (mapping) of f
:f is the inverse (mapping) of g.",Definition:Inverse Linear Operator
53,Definition:Inverse of Mapping,Inverse,"Let f: S → T be a mapping.


The inverse of f is its inverse relation, defined as:
:f^-1 := {( t, s ): f (   )s = t }

That is:
:f^-1 := {( t, s ): ( s, t ) ∈ f }


That is, f^-1⊆ T × S is the relation which satisfies:

:∀ s ∈ S: ∀ t ∈ T: ( t, s ) ∈ f^-1( s, t ) ∈ f",Definition:Inverse (Abstract Algebra)/Inverse
54,Definition:Inverse Matrix,Inverse,"Let n ∈ℤ_>0 be a (strictly) positive integer.

Let 𝐀 be a square matrix of order n.


Let there exist a square matrix 𝐁 of order n such that:
:𝐀𝐁 = 𝐈_n = 𝐁𝐀

where 𝐈_n denotes the unit matrix of order n.


Then 𝐁 is called the inverse of 𝐀 and is usually denoted 𝐀^-1.


=== Left Inverse Matrix ===
Let m, n ∈ℤ_>0 be a (strictly) positive integer.


Let 𝐀 = [ a ]_m n be a matrix of order m × n.

Let 𝐁 = [ b ]_n m be a matrix of order n × m such that:
:𝐁𝐀 = 𝐈_n

where 𝐈_n denotes the unit matrix of order n.


Then 𝐁 is known as a left inverse (matrix) of 𝐀.

=== Right Inverse Matrix ===
Let m, n ∈ℤ_>0 be a (strictly) positive integer.


Let 𝐀 = [ a ]_m n be a matrix of order m × n.

Let 𝐁 = [ b ]_n m be a matrix of order n × m such that:
:𝐀𝐁 = 𝐈_m

where 𝐈_m denotes the unit matrix of order m.


Then 𝐁 is known as a right inverse (matrix) of 𝐀.",Definition:Inverse Statement
55,Definition:Ringed Space,Structure Sheaf,"A ringed space is a pair ( X, 𝒪_X ) where:
:X is a topological space
:𝒪_X is a sheaf of commutative rings with unity on X.



=== Structure Sheaf ===
Let ( X, 𝒪_X ) be a ringed space.


The structure sheaf of ( X, 𝒪_X ) is the term 𝒪_X.",Definition:Ringed Space
56,Definition:Structure Sheaf of Spectrum of Ring,Structure Sheaf,"Let A be a commutative ring with unity.

Let ( Spec( A ), τ) be its spectrum with Zariski topology τ


=== Definition 1 ===

Note that Principal Open Subsets form Basis of Zariski Topology on Prime Spectrum.

We define the structure sheaf of Spec( A ) to be the sheaf induced by a sheaf on this basis defined as follows:
:For f ∈ A, 𝒪(   )X (   )f is the localization of A at f
:For f, g ∈ A with X (   )f ⊃ X (   )g, the restriction is the induced homomorphism of A-algebras A_f → A_g.


=== Definition 2 ===

 


=== Definition 3 ===


 ",Definition:Ringed Space
57,Definition:Concave Polygon,Concave,"Let P be a polygon.

P is a concave polygon  if and only if :
:at least one internal angle of P is greater than 180 ^∘.",Definition:Concave Real Function
58,Definition:Concave Polyhedron,Concave,"Let P be a polyhedron.

=== Definition 1 ===
Let P be a polyhedron.

P is a concave polyhedron  if and only if :
:at least one face of P lies in a plane which intersects at least one other face.

=== Definition 2 ===
Let P be a polyhedron.

P is a concave polyhedron  if and only if :
:at least one face of P lies in a plane such that P does not lie completely on one side of that plane.",Definition:Concave Real Function
